license_num,historicallicensenum,status,business_name,dba_name,location_comments,applicant,manager,evening_phone,address,Neighborhood,gpsx,gpsy
LB-99480,CV7ALA0011,Active,"HSI MCA BOS FB, LLC",Sam Adams Tap Room Extension & Eats,"Space BB-A11 in Terminal B, Pier B a Logan Airport, 3188 Square Feet."," HSI MCA BOS FB, LLC", SAIKOU BOIRO,,300     Logan Airport Terminal B  ,East Boston,0,0
LB-98832,CLBALV0005,Active,BPD POST #1018 VETERANS-FOREIGN WARS/USA,,IN WHOLE OF SAID BUILDING.  , BPD POST #1018 VETERANS-FOREIGN WARS/USA, PATRICIA K. COLUMBO,(617)839-4022,500-  Morton St,Jamaica Plain,765531.2439,2931991.348
LB-99469,CV7ALA0001,Active,"Air Ventures, LLC",VINEYARD GRILLE,," AIR VENTURES, LLC", GLEN ROCHON,,"      Logan Airport, Terminal E  ",East Boston,0,0
LB-98876,CV7ALA0683,Active,"TASTES ON THE FLY BOSTON, LLC",BOSTON BEER WORKS,"IN ONE ROOM OF APPROXIMATELY 1080 SQ FT WITH A BAR, DINING AREA AND A SEPARATE KITCHEN AND STORAGE AREA IN TERMINAL C, PIER C."," TASTES ON THE FLY BOSTON, LLC", Antonio Alicea,(774)217-9871,      Logan Airport Terminal C  ,East Boston,0,0
LB-98834,CLBALV0008,Active,JAMAICA PLAIN NO. 76 INC. OF THE AMERICAN,LEGION DEPARTMENT OF MASS,"No Transfer of ownership, ch 1161, Acts of 1973 License originally Issued 1982.  ", JAMAICA PLAIN NO. 76 INC. OF THE AMERICAN,"MICHAEL H. ROSE, SR.",(617)828-2781,280     South ST,Jamaica Plain,760278.5158,2934876.493
LB-98872,CV7ALA0656,Active,"TASTE, INC.",VINO VOLO,"Space FC-01 containing approximately 1346 square feet of floor space on one level in one room. Of the total licensed area, approximately 800 square feet consists of enclosed, railed cafe seating extending from the front of the space. "," TASTE, INC.", Tzuying Chen,(703)944-1939,"      Logan Airport, Terminal E  ",East Boston,0,0
LB-99556,CV7MW0164,Active,DLY HOT POT ALLSTON LLC,DALONGYI HOT POT,In three rooms on the first floor with kitchen and storage in the rear.  , DLY HOT POT ALLSTON LLC, Ping Hong Chen,6177832340,137-  Brighton Av,Allston,755805,2953920
LB-98805,CLBAL0033,Active,"THE TAVERN CLUB, INC.",,In whole of said building.  Capacity breakdown: 1st fl - 117; 2nd fl - 113; 3rd fl - 83.  ," THE TAVERN CLUB, INC.", FRANK IGO,,4-6   Boylston PL,Boston,773434,2953560
LB-99850,CV7MWR0002,Active,"NICOLE'S PIZZA, INC.",,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR, ALSO TO INCLUDE AN OUTDOOR SEASONAL PATIO FOR 16 PATRONS FROM APRIL THROUGH OCTOBER BETWEEN THE HOURS OF 10:00 A.M. - 11:00 P.M."," NICOLE'S PIZZA, INC.", GHASSAN SAMAHA,6172660223,639-  Tremont ST,Roxbury,771026.6767,2950059.857
LB-99527,CV7MW0065,Active,COBBAGE RESTAURANT CORP.,DINO'S,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE IN THE BASEMENT.", COBBAGE RESTAURANT CORP., ANN GIANNANGELI,6172271991,141-   Salem ST,Boston,776326,2958370
LB-99532,CV7MW0081,Active,"KUALA LUMPUR, INC.",PENANG,In one room on the first floor with kitchen in the rear and storage in the basement.," KUALA LUMPUR, INC.", PUAH HOON NG,(609)903-3060,685-691   Washington ST,Boston,,
LB-99095,CV7AL0236,Active,"METRO DINING, INC.",,Rear entrance and bulkhead entrance to cellar for stock. In two rooms and kitchen on first floor; cellar for stock. Includes an outdoor seasonal patio on the rear of the premises.," METRO DINING, INC.", DEREK S. BRADY,,32-34   Harvard AVE,Allston,755541.015,2954558.928
LB-98994,CV7AL0122,Active,"BARRY'S CORNER PROPERTY, LLC",,"Tenant F Space in one room with dining area, bar, kitchen and storage; two (2) entrances/exits with direct access to street level and one (1) entrance/exit from lobby of building occupying 3,771 square feet of space."," BARRYS CORNER PROPERTY, LLC", JOEL SKLAR,,219-  Western AVE,Allston,756151.3578,2957770.03
LB-99738,CV7MWL0057,Active,"Lulu Green, LLC",Lulu Green Cafe,"The premises consist of a restaurant on two floors (2,057SF): on the First floor seating for patrons (seating capacity, 33), counter service, food preparation and restroom and in the basement a restroom, food preparation area, storage and office. "," Lulu Green, LLC", Mary Lottouf,,246- W Broadway ,South Boston,777368.3137,2949093.693
LB-99413,CV7AL0611,Active,"JBond, LLC",,"In two rooms on the first floor, kitchen in the rear storage and office in the basement.  Capacity breakdown: 118 seated, 92 standing."," JBond, LLC", Shahrokh Reza,,25-   Kingston ST,Boston,775300.9626,2954243.314
LB-99416,CV7AL0614,Active,K & G Entertainment LLC,SIDEBAR,"TWO ROOMS AND KITCHEN ON THE FIRST FLOOR (APPROX. 1,855 SQ. FT.) CELLAR FOR STOCK AND OFFICE (APPROX. 1,800 SQ. FT.) FRONT AND REAR EXITS FOR EMERGENCY. CAPACITY BREAKDOWN: 62 @ PUB SIDE; 48 @ SIDE BAR.", K & G ENTERTAINMENT LLC,DAVID KHUC,(617)357-1899,14-16   Bromfield ST,Boston,0,0
LB-99765,CV7MWL0098,Active,"Mirch Ventures, Inc.",MUMBAI SPICE,"RESTAURANT ON FIRST FLOOR OF BUILDING CONSISTING OF APPROXIMATELY 2,680 SQ/FT WITH A BAR, SEATING AREA, KITCHEN, BATHROOMS AND STORAGE; TWO MEANS OF EGRESS; OUTDOOR SEASONAL PATIO SEATING.  10PM CLOSING.  "," MIRCH VENTURES, INC.", MAMTA JAGASIA,(617)800-6685,251-  Massachusetts AVE,Boston,767780.1156,2951100.753
LB-99311,CV7AL0487,Active,CM DIAMOND IMPORTERS LLC,,"IN ONE (1) LARGE ROOM ON FIRST FLOOR (INCLUDING DINING AREA, TWO (2) BARS AND LOUNGE) WITH KITCHEN IN REAR; PRIVATE DINING ROOM, BAR AND LOUNGE ON GROUND FLOOR/BASEMENT WITH STORAGE IN REAR; AND PRIVATE DINING ROOM ON SECOND FLOOR.  EXIT AND ENTRANCE ON WINTER PLACE, WITH EMERGENCY EXIT TO ALLEY IN ", CM DIAMOND IMPORTERS LLC, MARK S. MALATESTA,,1-4   Winter PL,Boston,774699.3537,2954881.905
LB-99262,CV7AL0431,Active,"CASWELL RESTAURANT GRUPPO, LLC",OAK + ROWAN,"BASEMENT (+/-850 SF) USED FOR OFFICE AND STORAGE PURPOSES ONLY.  RESTAURANT ON ONE FLOOR, FIRST FLOOR OF A 19-STORY BUILDING.  OPEN CONCEPT RESTAURANT DINING (+/-1,389 SF) INCLUDING DINING SEATS FOR ONE HUNDRED FOUR (104) PATRONS, BAR AREA AND BAR DINING (+/-886 SF) FOR FORTY NINE (49) PATRONS.  ADD"," CASWELL RESTAURANT GRUPPO, LLC", NANCY BATISTA-CASWELL,,319-321   A ST,BOSTON,778083.4543,2952508.602
LB-98799,CLBAL0027,Active,TRUSTEES OF BOSTON UNIVERSITY,,In whole of said of building., TRUSTEES OF BOSTON UNIVERSITY, JOSEPH D. LACHANCE,,225-   Bay State RD,Boston,763308.984,2953133.822
LB-99674,CV7MW0516,Active,"TURNAROUND SUSHI, INC.",CRAVE MAD FOR CHICKEN,"In one (1) room on first floor with kitchen and storage in rear main entrance on Kneeland Street, second entrance/exit on Tyler Street and emergency exit to Tyler Street.  Pursuant to the authority contained in Chapter 481 of the Acts of 1994."," TURNAROUND SUSHI, INC.", CASIDY LU,,75-   Kneeland ST,Boston,774940,2952940
LB-99214,CV7AL0374,Active,MCBOIS LIMITED,FRANKLIN CAF,Rear entrance to cellar from yard for stock; in one room and kitchen on first floor; cellar for stock., MCBOIS LIMITED, DAVID A. DUBOIS,(617)568-0090,278-   Shawmut AVE,Roxbury,772715,2950290
LB-99322,CV7AL0500,Active,"RAIL STOP, LLC",,"In one large room on ground floor to include dining room, bar seating, and private dining room; kitchen in rear with seasonal (April-October) outdoor patio with an 11:00 P.M closing hour on private property."," RAIL STOP, LLC", RAYMOND JOHNSTON,,94-160  Guest ST,Brighton,752766.1192,2955410.533
LB-99275,CV7AL0446,Active,"La Flaca y el Gordo, Inc.",PEKA,, LA FLACA Y EL GORDO INC., KATIUSKA VALIENTE,(,280-306   Washington ST,Brighton,750717.2109,2952068.595
LB-101886,RETAL0067,Active,"DORCHESTER SUPREME LIQUOR STORE, INC.",SUPREME LIQUORS,"Entrance at 540 Gallivan Boulevard; one rear entrance from parking space on Henderson Road; in one room on first floor in annex section of building. Using vacant space adjacent to existing liquor to enlarge premises from 4,100 sq. ft to 5,000 sq. ft. "," DORCHESTER SUPREME LIQUOR STORE, INC.", THOMAS CIFRINO,(781)874-1050,540-   Gallivan BLVD,Dorchester,776714.1601,2928460.227
LB-99041,CV7AL0177,Active,"SEAPORT HOSPITALITY, INC.",,"IN ONE LARGE ROOM ON SECOND FLOOR (LOBBY) OF WESTIN HOTEL WATERFRONT; KITCHEN, STORAGE AND OFFICE ON FIRST FLOOR WITH SEASONAL OUTDOOR SEATING FOR 40 PERSONS ON PRIVATE PROPERTY."," SEAPORT HOSPITALITY, INC.", AUSTIN M. O'CONNOR,(617)746-1215,425     Summer ST,Boston,779681.116,2951522.01
LB-99301,CV7AL0475,Active,"PIER 50, LLC",COMMITTEE,," PIER 50, LLC", GEORGE ABOUJAOUDE,,50-  Northern AVE,Boston,778847.9395,2954178.712
LB-99015,CV7AL0144,Active,"CITY ROADHOUSE, INC.",HARRY'S BAR AND GRILL,Rear entrance from alley for stock; in two rooms and kitchen on first floor; cellar for stock.," CITY ROADHOUSE, INC.", DOUGLAS F. BACON,6172546633,1430-1432   Commonwealth AV,Brighton,0,0
LB-99189,CV7AL0348,Active,"IRONSIDE TAVERN, LLC",IRONSIDE TAVERN,"Bulkhead entrance to cellar on Joiner Street for stock; emergency exit to Joiner St; in two rooms and kitchen on first floor; cellar for stock.(Enlarging kitchen) and secondly, to include an outside patio with a capacity of 40.", IRONSIDE TAVERN LLC, JON SWEENEY,,25-   Park ST,Charlestown,774781.7797,2961110.133
LB-101942,RETAL0148,Active,"861 CORPORATION, INC.",AL'S BOTTLED LIQUORS,Unnumbered entrance on C Street for stock; in one room on the first floor; cellar for stock.," 861 CORPORATION, INC.", CHRISTINE M. CARNEY,6172688855,226- W Broadway ,South Boston,777180.6083,2949241.206
LB-101936,RETAL0138,Active,"ARCHDALE LIQUOR, INC.",ARCHDALE LIQUORS,In one room on the first floor with rear room and cellar for stock.," ARCHDALE LIQUOR, INC.", FELICIANO DEL VALLE,,3999A-4001   Washington ST,Roslindale,758513.9694,2931944.001
LB-101960,RETAL0177,Active,"WINE AND LIQUORS, INC.",ROSLINDALE LIQUORS,Side Entrance on driveway and rear entrance to basement for stock; one room first floor; cellar for stock.," WINE AND LIQUORS, INC.", NARENDRAKUMAR A. PATEL,,23-   Corinth ST,Roslindale,756271,2929530
LB-99188,CV7AL0347,Active,STADIUM RESTAURANT LLC,,In two rooms and kitchen on first floor; One room and kitchen on the second floor; one room and kitchen and stock room in basement.  Capacity breakdown: 1st fl - 227; 2nd fl (nightclub configuration) - 282/ 2nd fl (tables & chairs) - 222., STADIUM RESTAURANT LLC, KRIS MEOLA,,232-  Old Colony AV,South Boston,776951.1743,2946439.715
LB-99412,CV7AL0610,Active,"GMRI, INC.",THE OLIVE GARDEN ITALIAN RESTAURANT,"IN 4 DINING ROOMS, ONE LOUNGE AREA, KITCHEN AND STORAGE IN THE REAR. 230 SEATED, 30 STANDING."," GMRI, INC.", KARAM KHOSLA,(617)989-1371,11B-  Allstate RD,Dorchester,774310.3764,2944145.63
LB-101983,RETAL0218,Active,"SHAW'S SUPERMARKETS, INC.",Star Market,"IN ONE ROOM ON THE FIRST FLOOR, STORAGE IN THE REAR OF THE PREMISES ALSO A LOADING DOCK TRUCK ENTRANCE IS ON EXETER STREET FOR PRODUCT DELIVERY."," SHAW'S SUPERMARKETS, INC.", Giuseppe Granata,(617)236-4235,53-  Huntington AVE,Boston,769796.2791,2952036.304
LB-99021,CV7AL0153,Active,GOPCHANG  BOSTON CORPORATION,GOPCHANG STORY,"In one room on ground floor with dining area and bar, kitchen space and restrooms; storage and office space located in rear.  ", GOPCHANG BOSTON CORPORATION, JIN CHONG,,971-973   Commonwealth AV,Boston,,
LB-99335,CV7AL0517,Active,"MAYASOL, INC.",SOL AZTECA,"Three rooms, kitchen and three stock rooms in basement, and to include an outdoor sidewalk cafe at 912-914a Beacon Street, with a seating capacity of thirty-four (34) ."," MAYASOL, INC.", RIMA OSORNIO,(617)263-2262,912-914A   Beacon ST,Boston,,
LB-99177,CV7AL0334,Active,"HIGH STREET RESTAURANT GROUP, LLC",HOWL AT THE MOON AND DOWN ULTRA LOUNGE,"In one room, kitchen and storage area on the first floor; basement consisting of one room, one function room and two storage rooms.  Ground level - 337, no more than 227 standing; Basement - 203, no more than 167 standing."," HIGH STREET RESTAURANT GROUP, LLC"," PAUL G. HOLIAN, JR.",(781)237-1819,184-   High ST,Boston,777100.9427,2955320.463
LB-99179,CV7AL0337,Active,"JIMMY JUMBO ENTERPRISES, LLC",NEBO,"MAIN FLOOR; ONE LARGE DINING AREA WITH 104 SEATS, BAR SEATING WITH 57 SEATS, AND KITCHEN IN REAR.  OUTDOOR PATIO ON CITY PROPERTY WITH 77 SEATS BETWEEN THE HOURS OF 11:00 A.M. - 2:00 A.M.  LOWER LEVEL: ADDITIONAL AREA FOR FOOD PREPARATION, STORAGE, AND OFFICES.  TWO ENTRANCES ON ATLANTIC AVENUE.  TW"," JIMMY JUMBO ENTERPRISES, LLC", CARLA PALLOTTA,6174354035,520-530   Atlantic AV,Boston,,
LB-99377,CV7AL0573,Active,"175 IPSWICH STREET, LLC",,," 175 IPSWICH STREET, LLC", JONATHAN GILULA,,175-  Ipswich St,Boston,765560.153,2951559.875
LB-99192,CV7AL0352,Active,GOLDEN VINTAGE GROUP LLC,VINTAGE LOUNGE,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE IN THE BASEMENT.  AND TO INCLUDE AN OUTDOOR PATIO FOR 24 PATRONS.  Capacity breakdown: 157 standing, 93 seated.", GOLDEN VINTAGE GROUP LLC, DAVID M. PARATORE,6172123962,72-  Broad ST,Boston,776977.3861,2955687.888
LB-99233,CV7AL0397,Active,M.Y.N. CORP.,DUBLIN PUB,Rear entrance for stock - two rooms and kitchen first floor cellar for stock., M.Y.N. CORP., YASER I. MOHAMMED,(617)282-2235,7-9   Stoughton ST,Dorchester,0,0
LB-99121,CV7AL0269,Active,"THE PITCHER'S MOUND, INC.",DIAMOND AT FENWAY,"IN ENTIRE BASEBALL PARK TO INCLUDE ALL SEATING AND STANDING ROOM AREAS, ROOF LEVEL OF GRANDSTAND, ROOFTOP BOX SEATS ABOVE EXISTING SUITES LEVEL, UPPER AND GROUND FLOOR OF BALLPARK AND DURING THE MAJOR LEAGUE SEASON TO INCLUDE YAWKEY WAY (INCLUDING LOADING AREA SHOWN ON PLANS) FROM BROOKLINE AVENUE T"," THE PITCHER'S MOUND, INC.", MICHAEL MELISI,(857)366-2345,72-  Brookline AVE,Boston,764646.7408,2951647.382
LB-99221,CV7AL0384,Active,CHANG XIN GLOBAL CREATIONS CO.,Bootleg Special,, CHANG XIN GLOBAL CREATIONS CO., Stephen Chan,(781)646-4254,400     TREMONT ST,BOSTON,0,0
LB-99589,CV7MW0281,Active,3W&Z CORP.,TAIWAN CAF,34 Oxford St. and 60 Beach St; In two rooms and kitchen on the first floor; basement for storage., 3W&Z CORP., YAN FANG ZHANG,(917)402-9801,34-   Oxford ST,Boston,775046,2953410
LB-99611,CV7MW0373,Active,"LCY, INC.",JADE GARDEN RESTAURANT,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE AND WORK AREA IN BASEMENT.  Capacity breakdown: 85 seating, 5 standing."," LCY, INC.", SIMON CHIU,(617)966-8806,18-20   Tyler ST,Boston,,
LB-99123,CV7AL0271,Active,"MITSOS, LLC",Krasi and Hecate,," MITSOS, LLC", Demetri Tsolakis,,48-   Gloucester ST,Boston,768592.5531,2952362.34
LB-99660,CV7MW0493,Active,"EMMANUEL GROUP, INC.",OLIVEIRA'S RESTAURANT,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE IN THE BASEMENT.  "," EMMANUEL GROUP, INC.", GABRIELLA D. GONCALVES,(617)561-7277,297-299   Chelsea ST,East Boston,783098.3193,2962754.286
LB-99759,CV7MWL0088,Active,"NORTH STREET GRILLE & CAF, INC.",,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE IN THE BASEMENT."," NORTH STREET GRILLE & CAF, INC.", NEEL SCHMOLL,6178466955,229     North ST,Boston,777080.0271,2957762.03
LB-98936,CV7AL0055,Active,"BASEBALL TAVERN, INC.",BASEBALL TAVERN,"WITH EMERGENCY EXITS; IN ONE ROOM, UTILITY KITCHEN, OFFICE & STOCKROOMS ON GROUND FLOOR; IN TWO ROOMS & KITCHEN ON FIRST FLOOR; IN ONE ROOM ON 2ND FLOOR; ROOF PATIO FOR 125 PATRONS & OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FROM APRIL THROUGH OCTOBER.  INSIDE CAPACITY BREAKDOWN: BASEMENT - 106; 1S"," BASEBALL TAVERN, INC.", ADAM HAWK,(617)816-5511,1270-   Boylston ST,Boston,765302.4312,2950876.797
LB-99672,CV7MW0513,Active,"Fairouz Restaurant, Inc.",,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.  PURSUANT TO THE AUTHORITY CONTAINED IN CHAPTER 481 OF THE ACTS OF 1994. RESTAURANT #36A W-TAKE OUT, #37 & #38 ENTERTAINMENT"," Fairouz Restaurant, Inc.", Christian Saad,(617)469-0000,5268-  Washington ST,West Roxbury,748511.2708,2919722.091
LB-101952,RETAL0166,Active,"GENECCA VINTAGE LIQUORS, INC.","BEACON HILL WINE & SPIRITS, INC.",One room first floor; cellar for stock.," GENECCA VINTAGE LIQUORS, INC.", EUGENE BERALDI,7812319407,63-   Charles ST,Boston,772331.5117,2955755.919
LB-99422,CV7AL0622,Active,PENA & NOVA CORP.,Norvia's Place,"IN ONE ROOM AND KITCHEN FIRST FLOOR, CELLAR FOR STOCK. CAPACITY BAR 15,  DINING  30, STANDING 22.", PENA & NOVA CORP., NORVIA M. PENA,(617)642-4262,2801-2807  Washington ST,Roxbury,766459.1171,2942513.257
LB-98847,CLBMW0003,Active,"THE COLLEGE CLUB OF BOSTON, INC.",THE COLLEGE CLUB OF BOSTON,"IN TWO FUNCTION ROOMS ON THE FIRST FLOOR, KNOWN AS THE DRAWING ROOM AND THE MEMBERS ROOM; KITCHEN AND STORAGE IN THE BASEMENT; EMERGENCY EXIT IN REAR OF BUILDING OUT TO THE ALLEY."," THE COLLEGE CLUB OF BOSTON, INC.", CHRISTOPHER BUSSELL,(978)594-5870,44-   Commonwealth AVE,Boston,771491.638,2953852.228
LB-101613,INNAL0001,Active,"HIGHGATE HOTELS, L.P.",The Newbury Boston,," HIGHGATE HOTELS, L.P.", CARLOS MANUEL BUENO,,15-   Arlington ST,Boston,771964.482,2953891.041
LB-101919,RETAL0117,Active,"JFR FERNANDEZ, INC.",HAPPY SUPERMARKET & SPIRITS,"128-136 South Street: One story building w/ full basement for storage including one room and downstairs bathroom (4060 sq. ft.); first floor retail area has 2 large rooms, one containing 2 multi-door walk in coolers, 3 aisles of shelving, and large counter with 3 cash registers in front plus two sma"," JFR FERNANDEZ, INC.", FRANCISCO J. FERNANDEZ,,128-132   South ST,Jamaica Plain,760433,2936650
LB-101855,RETAL0023,Active,"DORCHESTER LIQUOR GROUP, INC.",BLUE HILL SUPERETTE,In one room on the first floor; Cellar for stock. Side exit for emergency and stock deliveries.," DORCHESTER LIQUOR GROUP, INC.", TANZILA SHARMIN,,167-169   Blue Hill AV,Roxbury,,
LB-99265,CV7AL0434,Active,"GUIRA & TAMBORA, LLC",GUIRA & TAMBORA,"One room on the first floor, with a kitchen in the rear. Basement for storage. Three entrances and Five exits.Outdoor seasonal (April -October) patio on private property for 28 patrons.Total square footage of the premises is 2,712 square feet. "," GUIRA & TAMBORA, LLC", FELIPE DURAN,,4014-   Washington ST,Roslindale,758397.3448,2931595.874
LB-99399,CV7AL0597,Active,"CRG WATER, LLC",,," CRG WATER, LLC", KRISTIN CANTY,,300-  Pier 4 BL,Boston,779925.8961,2953839.441
LB-99300,CV7AL0474,Active,"BP EATERY,LLC",Lily's Boston,"IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR WITH STORAGE IN REAR, AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM MARCH - NOVEMBER FOR 110 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 10:00 A.M. - 2:00 A.M.  "," BP EATERY, LLC", MEVZAD DURAKOVIC,,33-35   BATTERYMARCH ST,Boston,0,0
LB-101985,RETAL0220,Active,"GRAND BOUCHON, LLC",SEIYO WINE SHOP,"IN ONE ROOM ON THE FIRST FLOOR; MAIN ENTRANCE ON WASHINGTON STREET, EXIT IN REAR; OFFICE AND STORAGE IN REAR.  "," GRAND BOUCHON, LLC", YAN JUAN LIU,(617)447-2183,1721-  Washington St,Roxbury,770641.215,2948141.417
LB-99495,CV7ALR0011,Active,"O YA, LLC",O YA,IN ONE ROOM ON THE FIRST FLOOR; ONE ENTRY AREA IN FRONT; KITCHEN AND STORAGE IN THE REAR.," O YA, LLC", NANCY E. CUSHMAN,5085203790,9-   East ST,Boston,775929.8909,2953371.944
LB-99498,CV7ALR0015,Active,"SOFI'S RESTAURANT GROUP, LLC","""SOPHIA'S GROTTO""","In one room on the first floor; kitchen in the rear. In 2 rooms on second floor for prep area & storage, basement for storage and to include an outdoor seasonal patio on Private Property for 54 patrons between the hours of Noon - Midnight.  Capacity breakdown: seating dining - 44, bar standing - 5."," SOFI'S RESTAURANT GROUP, LLC", JOSEPH GARUFI,6179479407,18-  Corinth ST,Roslindale,756237.5888,2929681.573
LB-99630,CV7MW0419,Active,"TABAR, INC.",,"IN ONE ROOM ON THE FIRST FLOOR, KITCHEN IN THE REAR, STORAGE IN THE BASEMENT."," TABAR, INC.", DAREK BARCIKOWSKI,6172695178,611-   Dorchester AVE,South Boston,775927,2945150
LB-99044,CV7AL0180,Active,"BOSTON TAVERN COMPANY, INC.",Yellow Door Taqueria,"Tenant space ""D"" in one (1) room with dining area, bar, kitchen, storage, two (2) street level entrances and three (3) street level exits with seasonal patio (April-October), on private property with 11pm closing hour on the patio. "," BOSTON TAVERN COMPANY, INC.", JAREK MOUNTAIN,,300-  Harrison AVE,Roxbury,774447.5069,2951423.135
LB-99251,CV7AL0418,Active,"253 FOOD AND SPIRIT, LLC",ABBY LANE,Rear entrance from privateway to first floor for stock; two rooms first floor; three rooms second floor for office space; cellar for stock; CAPACITY BREAKDOWN: RESTAURANT-335 PERSONS(BAR STOOLS 1ST FLR-32 PERSONS TABLES & CHAIRS 1ST FLR -45 PERSONS STANDING 1ST FLR -53 PERSONS BAR STOOLS 2ND FLR 2  ," 253 Food and Spirit, LLC",COLLEEN HAGERTY,(781)598-2807,255-257   Tremont ST,Boston,0,0
LB-99661,CV7MW0495,Active,"CENTER HOUSE OF PIZZA, INC.",ESPERIA GRILL & ROTISSERIE,"IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR, STORAGE IN THE BASEMENT."," CENTER HOUSE OF PIZZA, INC.", EFTHYMIOS ATANASIADIS,6172548337,344-   Washington ST,Brighton,749989.7454,2952346.044
LB-99051,CV7AL0187,Active,"CMR PRIME, LLC",OCEAN PRIME,"IN ONE (1) MAIN ROOM WITH LOBBY, DINING AREA, BAR AND LOUNGE, KITCHEN AND STORAGE, OFFICE, TRASH AND RECEIVING; THREE (3) PRIVATE DINING ROOMS; TWO (2) ENTRANCES AND FIVE (5) TOTAL EXITS INCLUDING TWO (2) TO THE FRONT OF RESTAURANT AND TWO (2) TO THE REAR OF RESTAURANT; THREE TOTAL (3) BATHROOMS;"," CMR PRIME, LLC",Tyler TYLER MANISCALCO,,140-  Seaport BLVD,Boston,779644.8628,2953369.365
LB-99545,CV7MW0113,Active,"CALAMARI FISHERIES, INC.",THE DAILY CATCH,"IN ONE ROOM, KITCHEN AREA, FIRST FLOOR - CELLAR FOR STOCK."," CALAMARI FISHERIES, INC.", MARIA M. LOMBORDO,,323-  Hanover ST,Boston,776703.0954,2958004.224
LB-99601,CV7MW0321,Active,"RAFAEL E. VERAS, INDIVIDUAL",LATINO RESTAURANT,"In one room on the first floor; kitchen in the rear, storage in the basement."," RAFAEL E. VERAS, INDIVIDUAL", RAFAEL E. VERAS,6175221155,302-   Centre ST,Jamaica Plain,763460.4775,2942880.659
LB-98792,CLBAL0020,Active,"TWENTY-FOUR EIGHTEEN CLUB, INC.",,Rear and side exits for emergency and stock; In one room on first floor; One room in basement for storage.," TWENTY-FOUR EIGHTEEN CLUB, INC.", LESLY PIERRE CHARLES,(857)205-0998,18-24   Washington ST,Boston,769124.2106,2937417.413
LB-102040,RETMW0067,Active,"TABAR, INC.",BALTIC EUROPEAN DELI,IN ONE ROOM ON THE FIRST FLOOR; STORAGE IN THE BASEMENT.," TABAR, INC.", DAREK BARCIKOWSKI,6173503001,632-   Dorchester AVE,South Boston,776038.4582,2944965.162
LB-99263,CV7AL0432,Active,BRV DINING GROUP LLC,ALMA,In one room and kitchen on the first floor; Cellar for stock. Seasonal (April-October) outdoor patio on public property along the easterly side of 15 Union Street (+/- 139 square feet)., BRV DINING GROUP LLC, DAVID FERRANDO,(617)523-9396,15-  Union St,Boston,775953.5005,2956817.871
LB-99512,CV7MW0011,Active,"Food House, Inc.",FRIENDSHIP BBQ ALLSTON,, Food House Inc., So Lim Ting,,103-  Brighton AVE,Allston,756038.0355,2953885.792
LB-101872,RETAL0047,Active,"FOREST HILLS FINE WINE, INC.",FOREST HILLS FINE WINE,"18, 24 Hyde Park Avenue, side entrance on Woodlawn Street - One room first floor; cellar for stock"," FOREST HILLS FINE WINE, INC.",SHAUL JASON KATZ,(617)872-8930,18-24  Hyde Park Av,Jamaica Plain,760656.5748,2934330.561
LB-101970,RETAL0190,Active,MARIE P. CANALE,LOMBARDI'S,In one room on the first floor; storage in the rear., MARIE P. CANALE, MARIE P. CANALE,,609-   American Legion HWY,Roslindale,761603.0791,2929452.916
LB-104346,TAVAL0028,Active,"SHEA & CO., INC.",SHEA'S TAVERN,In one room and kitchen on the first floor; cellar for stock.  ," SHEA & CO., INC.", JAMES M. CARNEY,265-3504,222- W Broadway ,South Boston,777090,2949170
LB-98791,CLBAL0019,Active,OLD COLONY YACHT CLUB,,"In whole of said building except basement.  Capacity breakdown: 1st fl - 134, 2nd fl - 220.", OLD COLONY YACHT CLUB, JOHNNY H. ENGLISH,,235-   Victory RD,Dorchester,779420.0746,2934567.691
LB-98931,CV7AL0050,Active,"ASIAN CUISINE, INC.",TYPHOON-RESTAURANT,IN ONE ROOM ON THE FIRST FLOOR WITH A KITCHEN AND STORAGE ON MEZZANINE LEVEL.  INCLUDES AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER ON PRIVATE PROPERTY FOR 8 PATRONS.," ASIAN CUISINE, INC.", NHAN H. PHAN - NGUYEN,6178778969,725-  Boylston ST,Boston,769656.7598,2952695.735
LB-102020,RETMW0031,Active,"BOSTON BOTTLES, LLC",BOTTLES,IN ONE ROOM ON THE FIRST FLOOR; STORAGE IN THE REAR.," BOSTON BOTTLES, LLC", DANIEL O'CONNOR,2035307265,370-  Commercial ST,Boston,777363.9887,2958754.77
