Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,Grant_Existing,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
Boston Public Schools,East Boston Elementary School Study,Study to design a future elementary school in East Boston.,Public Facilities Department,To Be Scheduled,East Boston,"500,000", -   , -   , -   , -   , -   , -   ,"500,000", -   , -   , -   , -   , -   ,"500,000"
Transportation Department,Egleston Square,"Redesign of Egleston Square featuring widened sidewalks, median realignment, new crosswalks, raised crosswalks and neckdowns, traffic signal improvements, and rehabilitation of the sculpture garden.",Transportation Department,In Design,Roxbury, -   ,"6,910,000", -   ,"1,000,000", -   , -   , -   ,"6,910,000","125,892","374,108","300,000","200,000", -   ,"7,910,000"
Parks and Recreation Department,Park Planning Studies,"Planning and related landscape design services including: capital phasing plans, development of standard details and specifications and miscellaneous planning services.",Parks and Recreation Department,Annual Program,Citywide,"332,383", -   , -   , -   ,"39,051","50,000","100,000","143,332", -   , -   , -   , -   , -   ,"332,383"
Boston Public Schools,Dever School and McCormack School Open Space Study,Study to determine outdoor improvements at the Dever School and McCormack School.,Boston Public Schools,To Be Scheduled,Dorchester,"200,000", -   , -   , -   , -   ,"50,000","150,000", -   , -   , -   , -   , -   , -   ,"200,000"
Public Works Department,Ruggles Street,"Design and build a context sensitive Ruggles Street, between Washington Street and Ruggles MBTA Station, adhering to Complete Street guidelines.",Public Works Department,In Construction,Roxbury, -   , -   , -   ,"5,000,000", -   , -   , -   , -   , -   ,"1,500,000","200,000","4,800,000", -   ,"6,500,000"
Parks and Recreation Department,Paula Titus Park,Design and construction of a new park.,Parks and Recreation Department,In Design,Roxbury,"1,000,000", -   , -   , -   , -   , -   ,"25,000","975,000", -   , -   , -   , -   ,"35,000","1,035,000"
Parks and Recreation Department,Penniman Road Play Area,"Design for a comprehensive park renovation including drainage, play lot, courts, passive areas, pathways, landscaping, site furnishings and infrastructure.",Parks and Recreation Department,To Be Scheduled,Allston/Brighton,"300,000","1,750,000", -   , -   , -   , -   ,"120,000","1,930,000", -   , -   , -   , -   ,"270,000","2,320,000"
Police Department,Headquarters Roof and Elevator Replacement,Replace roof and elevators.,Public Facilities Department,In Construction,Roxbury,"7,200,000", -   , -   , -   ,"62,988","187,012","750,000","6,200,000", -   , -   , -   , -   , -   ,"7,200,000"
Boston Public Schools,Henderson Inclusion Lower School Windows,"Replace windows, add fire sprinklers, and make accessibility improvements.",Public Facilities Department,In Construction,Dorchester,"10,728,239", -   , -   , -   ,"423,260","2,004,979","4,000,000","4,300,000", -   , -   , -   , -   , -   ,"10,728,239"
Department of Innovation and Technology,Digital Service Delivery and Engagement,Implement digital technology solutions that better engage residents with government.,DoIT,Annual Program,Citywide,"8,433,296", -   ,"978,609", -   ,"3,377,431","1,281,274","1,253,200","3,500,000", -   , -   , -   , -   , -   ,"9,411,905"
Boston Public Schools,Drinking Water Upgrades at Various Schools,Upgrade plumbing and fixtures to expand the availability of drinking water at various schools.,Boston Public Schools,In Design,Various neighborhoods,"10,360,000", -   , -   , -   , -   ,"110,000","250,000","10,000,000", -   , -   , -   , -   , -   ,"10,360,000"
Transportation Department,Dedicated Bus Lanes,"Transform several corridors citywide for rapid bus transit, including the construction of dedicated bus lanes on Columbus Avenue, Warren Street, and Malcolm X Boulevard.",Transportation Department,Annual Program,Various neighborhoods,"7,000,000","6,000,000", -   ,"1,643,700", -   ,"452,000","6,000,000","6,548,000","39,949","1,603,751", -   , -   , -   ,"14,643,700"
Department of Innovation and Technology,Data Analytics,"Invest in data analytic tools, technologies, and processes to empower data-driven management.",DoIT,Annual Program,N/A,"4,765,516", -   ,"1,865,649", -   ,"2,232,747","1,133,418","765,000","2,500,000", -   , -   , -   , -   , -   ,"6,631,165"
Public Works Department,Dalton Street Bridge,Design and construction to support the rehabilitation of the bridge.,Public Works Department,In Construction,Back Bay,"19,000,000", -   , -   ,"5,725,000", -   ,"2,375,000","9,500,000","7,125,000","2,108,993","2,900,000","716,007", -   , -   ,"24,725,000"
Parks and Recreation Department,Peters Park Ballfield,Address drainage issues on Little League Field.,Parks and Recreation Department,To Be Scheduled,South End,"500,000", -   , -   , -   , -   , -   ,"250,000","250,000", -   , -   , -   , -   , -   ,"500,000"
Department of Innovation and Technology,Cyber Security and Resiliency,Implement solutions to manage and mitigate cyber security risks.,DoIT,Annual Program,N/A,"8,668,049", -   , -   , -   ,"3,193,216","1,836,833","3,638,000", -   , -   , -   , -   , -   , -   ,"8,668,049"
Boston Public Schools,Horace Mann School Relocation,Infrastructure improvements associated with relocation to accommodate specialized programmatic needs for students with hearing impairments.,Public Facilities Department,In Design,Charlestown,"1,000,000","30,200,000", -   , -   , -   ,"250,000","1,000,000","29,950,000", -   , -   , -   , -   , -   ,"31,200,000"
Public Works Department,State Street,"Reconstruct road, sidewalks, and lighting from Congress Street to Rose Kennedy Greenway.",Public Works Department,In Design,Financial District/Downtown,"1,500,000", -   ,"3,500,000", -   , -   , -   ,"100,000","4,900,000", -   , -   , -   , -   , -   ,"5,000,000"
Parks and Recreation Department,Ramsay Park Ballfield,"Ball field renovations including irrigation, site utilities, seating, backstop, fencing, and site furnishings.",Parks and Recreation Department,To Be Scheduled,South End,"920,000", -   , -   , -   , -   , -   ,"50,000","870,000", -   , -   , -   , -   , -   ,"920,000"
Parks and Recreation Department,Ringer Park Master Plan,Develop comprehensive park master plan that will guide future capital investments.,Parks and Recreation Department,Study Underway,Allston/Brighton,"50,000", -   , -   , -   ,"43,616","6,384", -   , -   , -   , -   , -   , -   ,"25,000","75,000"
Department of Innovation and Technology,Core Technology Infrastructure,"Install hardware platforms to run applications supporting City business. Scope includes equipment refresh for DWDM and BoNet equipment refresh, VoIP, firewall modernization, SQL environment recovery, and 700 MHz radio equipment and firmware.",DoIT,Annual Program,N/A,"12,669,773", -   , -   , -   ,"3,743,741","2,926,032","6,000,000", -   , -   , -   , -   , -   , -   ,"12,669,773"
Parks and Recreation Department,Ringer Playground,Design of recommendations from the master plan.,Parks and Recreation Department,To Be Scheduled,Allston/Brighton,"250,000", -   , -   , -   , -   , -   ,"250,000", -   , -   , -   , -   , -   , -   ,"250,000"
Transportation Department,Strategic Bike Network: Mass. Ave. South of Melnea Cass Blvd.,"Reconfigure an existing pedestrian island at Massachusetts Avenue between Melnea Cass and Theodore Glynn, and create a bike lane from Columbia Road in Dorchester to Melnea Cass in Roxbury/South End.",Public Works Department,In Construction,Dorchester,"2,400,000", -   , -   , -   , -   ,"50,000","250,000","2,100,000", -   , -   , -   , -   , -   ,"2,400,000"
Police Department,Communications Infrastructure Upgrades,Design and implementation of upgrades to the Police radio system.,Police Department,Implementation Underway,Citywide,"53,370,000", -   , -   , -   ,"45,283,759","5,586,241","2,500,000", -   , -   , -   , -   , -   , -   ,"53,370,000"
Public Works Department,Summer Street Phase 2,"Continuation of Crossroads Initiative at Summer Street to improve roadway, sidewalks, street lighting, and bicyclist safety. Phase 1 scope included area from Fort Point Channel to Boston Wharf Road. Phase 2 will extend from BCEC towards South Boston.",Public Works Department,In Design,South Boston, -   , -   , -   ,"600,000", -   , -   , -   , -   , -   , -   ,"300,000","300,000", -   ,"600,000"
Transportation Department,Tremont Street,"Redesign and reconstruction of Tremont Street, from Herald Street to Massachusetts Avenue, to include permanent safety improvements to crossings, accessibility upgrades, dedicated bicyclist space, and potential drop-off zones for ridesharing.",Public Works Department,In Construction,South End,"1,000,000", -   , -   ,"9,539,452", -   , -   , -   ,"1,000,000", -   ,"539,452","4,000,000","5,000,000", -   ,"10,539,452"
Transportation Department,Roslindale Gateway,Design relative to the Arboretum Road Green Link project.,Parks and Recreation Department,In Design,Roslindale, -   , -   , -   ,"50,000", -   , -   , -   , -   ,"27,383","22,617", -   , -   , -   ,"50,000"
Boston Public Schools,Josiah Quincy Upper School,Design and construct a new facility for the Josiah Quincy Upper School. The MSBA will partner with the City in the development and funding of this new school.,Public Facilities Department,In Construction,Chinatown,"126,515,501", -   , -   ,"67,075,966","776,495","7,500,000","14,000,000","104,239,006","14,476,473","4,000,000","12,000,000","36,599,493", -   ,"193,591,467"
Parks and Recreation Department,Roslindale Wetlands Trail,"Repair and extension of perimeter walking trail and boardwalk, wetland restoration, and improvements to flood retention capacity.",Parks and Recreation Department,In Construction,Roslindale,"690,000", -   , -   , -   ,"44,322","345,678","300,000", -   , -   , -   , -   , -   , -   ,"690,000"
Environment Department,Climate Resilience Reserve,Reserve for climate resilient capital investments.,Environment Department,Implementation Underway,Citywide,"5,000,000","3,000,000", -   , -   ,"624,871", -   ,"1,500,000","5,875,129", -   , -   , -   , -   , -   ,"8,000,000"
Environment Department,Climate Ready Boston Phase 3,Climate resilience planning for City neighborhoods and municipal facilities affected by climate change.,Environment Department,Implementation Underway,Citywide,"991,720", -   , -   , -   , -   , -   ,"250,000","741,720", -   , -   , -   , -   , -   ,"991,720"
Environment Department,Climate Ready Boston Harbor Study,Support the development of a study that will examine the feasibility of measures along and within the Boston Harbor to reduce vulnerability of coastal flooding due to sea level rise caused by climate change.,Environment Department,To Be Scheduled,Various neighborhoods,"2,000,000", -   , -   , -   , -   , -   ,"2,000,000", -   , -   , -   , -   , -   ,"3,000,000","5,000,000"
Parks and Recreation Department,Ryan Play Area,Design for a comprehensive park improvements including play area and passive areas.,Parks and Recreation Department,In Design,Dorchester,"1,470,000", -   , -   , -   ,"50,557","49,443","400,000","970,000", -   , -   , -   , -   , -   ,"1,470,000"
Department of Innovation and Technology,Citywide Revenue Modernization,Planning and design of a centralized collections system to maximize City revenue.,DoIT,To Be Scheduled,N/A,"650,000", -   , -   , -   , -   , -   ,"325,000","325,000", -   , -   , -   , -   , -   ,"650,000"
Property Management Department,City Hall HVAC,Replace air handling units.,Public Facilities Department,In Design,Government Center/Faneuil Hall,"29,000,000","11,000,000", -   , -   , -   ,"300,000","2,500,000","37,200,000", -   , -   , -   , -   , -   ,"40,000,000"
Public Health Commission,Long Island Facility Preservation,Repair and upkeep of buildings on Long Island that may be utilized in the development of the recovery campus.,Public Facilities Department,To Be Scheduled,Harbor Islands,"20,000,000", -   , -   , -   , -   , -   ,"5,000,000","15,000,000", -   , -   , -   , -   , -   ,"20,000,000"
Parks and Recreation Department,Ryan Playground,"Design for a comprehensive park improvements to ball fields, playground, basketball court, parking area, harbor walk, lighting, and green infrastructure to mitigate future sea level rise caused by climate change.",Parks and Recreation Department,In Design,Charlestown,"800,000","11,000,000","200,000", -   , -   ,"250,000","400,000","11,350,000", -   , -   , -   , -   , -   ,"12,000,000"
Public Health Commission,Long Island Recovery Campus,Renovate existing buildings on Long Island to support the creation of a recovery campus.,Public Facilities Department,To Be Scheduled,Harbor Islands,"2,000,000", -   , -   , -   ,"3,178","146,823","1,000,000","849,999", -   , -   , -   , -   , -   ,"2,000,000"
Parks and Recreation Department,Safety Surfacing Replacement,Upgrade and replace safety surfacing at various City parks.,Parks and Recreation Department,Implementation Underway,Citywide,"2,000,000", -   , -   , -   ,"150,813","349,187","500,000","1,000,000", -   , -   , -   , -   , -   ,"2,000,000"
Transportation Department,Centre Street Safety Improvements,Design and implement pedestrian and bicycle safety improvements on Centre Street in West Roxbury.,Transportation Department,In Design,West Roxbury,"400,000", -   , -   , -   , -   ,"25,000","75,000","300,000", -   , -   , -   , -   , -   ,"400,000"
Transportation Department,Centre Street / South Street,Redesign portions of Centre Street and South Street in Jamaica Plain using a Complete Streets approach.,Transportation Department,In Design,Jamaica Plain,"750,000","250,000", -   , -   ,"341,690","58,310","150,000","450,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Public Schools,Madison Park TVHS Electrical Improvements,Electrical upgrades at Madison Park Technical Vocational High School.,Public Facilities Department,In Construction,Roxbury,"6,000,000", -   , -   , -   ,"185,579","1,714,421","4,100,000", -   , -   , -   , -   , -   , -   ,"6,000,000"
Boston Public Schools,Mandela Athletic Complex Locker Rooms,Renovate women's locker rooms for Madison Park Technical Vocational High School and the O'Bryant School of Mathematics and Science.,Public Facilities Department,In Construction,Roxbury,"8,030,325", -   , -   , -   ,"69,841","960,484","7,000,000", -   , -   , -   , -   , -   , -   ,"8,030,325"
Boston Public Schools,Mattahunt School,Safety upgrades at the Mattahunt Elementary School.,Public Facilities Department,To Be Scheduled,Mattapan,"500,000", -   ,"3,165,000", -   , -   , -   ,"500,000","3,165,000", -   , -   , -   , -   , -   ,"3,665,000"
Public Health Commission,Miranda-Creamer / SEFC Repairs,Roof replacement at the Miranda-Creamer and South End Fitness Center buildings. Window and masonry repairs to the interconnecting walkway. Electrical and HVAC upgrades.,Public Facilities Department,In Construction,South End,"5,600,000", -   , -   , -   ,"148,035","1,101,965","4,350,000", -   , -   , -   , -   , -   , -   ,"5,600,000"
Fire Department,Moon Island Seawall,Design for infrastructure improvements to seawall adjacent to the Fire Department Training Academy.,Public Facilities Department,In Design,Harbor Islands,"800,000","2,000,000", -   , -   , -   ,"100,000","250,000","2,450,000", -   , -   , -   , -   , -   ,"2,800,000"
Boston Public Library,Central Library Faade Study and Repairs,Perform a study of the condition of the facades of the Johnson and McKim buildings and make repairs as needed.,Boston Public Library,To Be Scheduled,Back Bay,"400,000", -   , -   , -   , -   , -   ,"200,000","200,000", -   , -   , -   , -   , -   ,"400,000"
Property Management Department,Municipal Facility Repairs,"Building renovations at various municipal buildings including City Hall, 26 Court Street, and 1010 Massachusetts Avenue.",Public Facilities Department,In Construction,Various neighborhoods,"16,989,600","9,375,000", -   , -   ,"795,214","2,000,000","5,000,000","18,569,386", -   , -   , -   , -   , -   ,"26,364,600"
Public Works Department,Storm Water Pollution Study,Engineering study to identify methods to eliminate storm water pollution.,Public Works Department,To Be Scheduled,South End,"150,000", -   , -   , -   , -   , -   ,"75,000","75,000", -   , -   , -   , -   , -   ,"150,000"
Boston Public Schools,Cafeteria Upgrades Phase 4,Upgrade kitchens to expand the implementation of an innovative fresh food program at an additional 19 schools.,Public Facilities Department,In Construction,Various neighborhoods,"12,700,000", -   , -   , -   , -   ,"10,000,000","2,700,000", -   , -   , -   , -   , -   , -   ,"12,700,000"
Parks and Recreation Department,Smith Playground Phase 2,Additional park improvements including the ball field area based on the master plan.,Parks and Recreation Department,In Construction,Allston/Brighton,"5,480,000", -   , -   , -   ,"522,883","3,077,117","1,530,000","350,000", -   , -   , -   , -   , -   ,"5,480,000"
Parks and Recreation Department,Sports Lighting Replacement,Annual program for replacing sports lighting. High priority projects include Christopher Lee Playground and Clifford Playground.,Parks and Recreation Department,Implementation Underway,Citywide,"1,000,000", -   ,"2,600,000", -   ,"132,575","767,425","500,000","2,200,000", -   , -   , -   , -   , -   ,"3,600,000"
Boston Public Schools,Entryway Improvements at Various Schools,"Improve entryways to create a more welcoming, calm, and safe environment, including upgrades to security, doors, lighting, and wayfinding at various schools.",Boston Public Schools,To Be Scheduled,Various neighborhoods,"2,000,000", -   , -   , -   , -   ,"250,000","500,000","1,250,000", -   , -   , -   , -   , -   ,"2,000,000"
Boston Public Schools,Exterior Grounds Improvements,"Improve landscaping, walkways, paving, and outdoor lighting and signage at various schools.",Boston Public Schools,To Be Scheduled,Citywide,"2,250,000","10,000,000", -   , -   , -   , -   ,"1,500,000","10,750,000", -   , -   , -   , -   , -   ,"12,250,000"
Boston Public Library,North End Branch Library,Assess the existing interior and exterior physical conditions and systems according to how ably the branch can accomplish the Compass principles; develop and implement an improvement plan.,Public Facilities Department,To Be Scheduled,North End,"865,000", -   ,"610,000", -   ,"4,183", -   , -   ,"1,470,817", -   , -   , -   , -   , -   ,"1,475,000"
Boston Public Schools,BPS: Reserve for Future Projects,Reserve for future and current BPS projects.,Public Facilities Department,Annual Program,Citywide,"1,670,000","34,879,295", -   , -   , -   , -   ,"500,000","36,049,295", -   , -   , -   , -   , -   ,"36,549,295"
Boston Public Schools,BPS: MSBA ARP Reserve,Reserve for future MSBA Accelerated Repair Program projects.,Public Facilities Department,Annual Program,Various neighborhoods, -   , -   ,"22,000,000", -   , -   , -   ,"500,000","21,500,000", -   , -   ,"2,500,000","4,500,000", -   ,"29,000,000"
Boston Public Schools,Food and Nutritional Services Technology,Purchase and install point of sale system for food services at all schools.,Boston Public Schools,Implementation Underway,Citywide,"740,000", -   , -   , -   ,"383,270","256,730","100,000", -   , -   , -   , -   , -   , -   ,"740,000"
Boston Public Schools,Grade K-6 School Conversions Phase 1,"Interior renovations to facilitate K-6 conversions at various schools, including adding/removing walls, installing lockers, and relocating offices.",Boston Public Schools,In Construction,Various neighborhoods,"975,000", -   , -   , -   ,"319,411","30,589","550,000","75,000", -   , -   , -   , -   , -   ,"975,000"
Boston Public Schools,Kennedy Academy Envelope,"Repair roof, masonry, windows, and doors.",Boston Public Schools,In Design,Mission Hill,"1,892,212", -   , -   , -   , -   , -   ,"100,000","1,792,212", -   , -   , -   , -   , -   ,"1,892,212"
Boston Centers for Youth and Families,North End Community Center Design,Develop a design for a new North End Community Center.,Public Facilities Department,To Be Scheduled,North End,"5,000,000", -   , -   , -   , -   , -   ,"400,000","4,600,000", -   , -   , -   , -   , -   ,"5,000,000"
Public Works Department,Bridge Repairs,Ongoing repairs at various City-owned bridges as needed to bring the portfolio of 40 bridges to a state of good repair. This includes proactive maintenance and annual maintenance.,Public Works Department,Annual Program,Citywide,"46,000,000","19,000,000", -   , -   ,"10,275,939","4,000,000","7,000,000","43,724,061", -   , -   , -   , -   , -   ,"65,000,000"
Boston Public Schools,Bradley School Envelope,"Repair masonry, windows, and doors.",Public Facilities Department,In Design,East Boston,"1,663,839", -   , -   , -   , -   , -   ,"110,000","1,553,839", -   , -   , -   , -   , -   ,"1,663,839"
Public Works Department,Boylston Street Sidewalks,Design and construct sidewalk and/or streetscape improvements on Boylston Street.,Public Works Department,In Construction,Back Bay, -   , -   , -   ,"3,761,000", -   , -   , -   , -   ,"1,062,450","98,550","1,250,000","1,350,000", -   ,"3,761,000"
Transportation Department,Boylston Street,"Redesign and reconstruct Boylston Street from Ipswich Street south to Park Drive and the Muddy River Crossing. Build protected bike lanes, a mid-block crossing, upgraded signals, replacement lighting and new sidewalks in certain locations.",Transportation Department,In Design,Back Bay, -   , -   , -   ,"1,376,299", -   , -   , -   , -   ,"558,009","212,735","400,000","205,555","8,500,000","9,876,299"
Transportation Department,JFK/UMASS Station,Study improvements and create a transportation action plan for the MBTA'sJFK/UMassStation area.,Transportation Department,To Be Scheduled,Dorchester, -   , -   , -   ,"250,000", -   , -   , -   , -   , -   , -   ,"50,000","200,000", -   ,"250,000"
Parks and Recreation Department,Titus Sparrow Park,Improve the playground; renovate the tennis and basketball courts.,Parks and Recreation Department,In Design,South End,"100,000", -   ,"1,880,000", -   ,"3,071","126,929","1,300,000","550,000", -   , -   , -   , -   , -   ,"1,980,000"
Parks and Recreation Department,Urban Forestry Plan,Develop an inventory and planning document to optimize the management of City-owned trees.,Parks and Recreation Department,Study Underway,N/A,"582,000", -   , -   , -   ,"125,671","256,329","200,000", -   , -   , -   , -   , -   , -   ,"582,000"
Transportation Department,Operations Center at 12 Channel Street,"Renovations to address interior office improvements, heating, ventilation, and sound.",Public Facilities Department,In Construction,South Boston,"2,500,000", -   , -   , -   ,"1,505,520","244,480","750,000", -   , -   , -   , -   , -   , -   ,"2,500,000"
Office of Arts & Culture,Book Mark'd,Fabricate and install a bronze sculpture of books for the entrance of the Mattapan Branch Library.,Office of Arts and Culture,To Be Scheduled,Mattapan,"250,000", -   , -   , -   , -   , -   ,"50,000","200,000", -   , -   , -   , -   , -   ,"250,000"
Transportation Department,Rapid Bus Transportation Seaport,Develop an action plan and implementation program for rapid bus transit between North Station and the Seaport.,Transportation Department,Study Underway,South Boston, -   , -   , -   ,"260,000", -   , -   , -   , -   , -   ,"60,000","200,000", -   , -   ,"260,000"
Public Works Department,Street Lighting Assessment,Implement a system wide structural assessment on all City street lighting infrastructure.,Public Works Department,To Be Scheduled,Citywide,"500,000","250,000", -   , -   , -   , -   ,"250,000","500,000", -   , -   , -   , -   , -   ,"750,000"
Mayor's Office of Housing,Orient Heights Senior Center,Convert the former Orient Heights Branch Library into a new senior center.,Public Facilities Department,In Construction,East Boston,"6,500,000", -   , -   , -   ,"2,457,258","3,008,742","667,000","367,000", -   , -   , -   , -   , -   ,"6,500,000"
Transportation Department,Bikeshare Dock Replacement,"Replace portions of City's bikeshare system, including docks, kiosks and bikes.",Transportation Department,To Be Scheduled,Various neighborhoods, -   , -   , -   ,"500,000", -   , -   , -   , -   , -   ,"500,000","500,000","750,000", -   ,"1,750,000"
Transportation Department,Bike Share Network Expansion,"Expand city's bike share network to connect neighborhoods that are further from frequent, reliable rail transit and support strong demand in employment centers and commercial hubs.",Transportation Department,In Construction,Various neighborhoods,"750,000", -   , -   ,"4,750,000", -   ,"750,000", -   , -   ,"2,160,181","198,067","1,000,000","1,391,752", -   ,"5,500,000"
Mayor's Office of Housing,BHA Orient Heights,"City funding for Phase 3 consisting of 123 units of housing, gateway park, and community center.",Boston Housing Authority,In Construction,East Boston,"19,000,000", -   , -   , -   , -   ,"17,000,000","2,000,000", -   , -   , -   , -   , -   , -   ,"19,000,000"
Mayor's Office of Housing,BHA Housing Improvements,"Upgrade elderly/disabled public housing units in several BHA communities including Saint Botolph in the South End, the Doris Bunte Apartments in Egleston Square, and Patricia White in Brighton.",Boston Housing Authority,Implementation Underway,Various neighborhoods,"10,000,000", -   , -   , -   , -   ,"10,000,000", -   , -   , -   , -   , -   , -   , -   ,"10,000,000"
Mayor's Office of Housing,BHA Charlestown,"Investment that supports the redevelopment of the Bunker Hill Housing Development. The initial phase includes 236 affordable units and over the life of the project will produce 1,010 affordable units.",Boston Housing Authority,Implementation Underway,Charlestown,"30,000,000", -   , -   , -   , -   ,"6,900,000","12,730,000","10,370,000", -   , -   , -   , -   , -   ,"30,000,000"
Police Department,Police Academy Study,Programming and siting study to evaluate space requirements for the Police Academy.,Public Facilities Department,Study Underway,N/A,"100,000", -   , -   , -   , -   , -   ,"50,000","50,000", -   , -   , -   , -   , -   ,"100,000"
Boston Centers for Youth and Families,BCYF Security & Technology Upgrades,Improvements to technology infrastructure and security systems including cameras at all stand alone sites. ,Boston Centers for Youth and Families,To Be Scheduled,Citywide,"750,000", -   , -   , -   , -   , -   ,"200,000","550,000", -   , -   , -   , -   , -   ,"750,000"
Police Department,Police Facility Signage,Design and installation of upgraded signage at BPD facilities.,Public Facilities Department,In Design,Various neighborhoods,"1,000,000", -   , -   , -   ,"48,000","52,000","250,000","650,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Centers for Youth and Families,BCYF Roslindale Community Center,"Interior and exterior building renovation including improvements to athletic facilities, redesign the front entrance, window and door replacements, and other facility upgrades to enable using the facility as a sheltering site year-round.",Public Facilities Department,To Be Scheduled,Roslindale,"1,000,000", -   , -   , -   , -   , -   ,"100,000","900,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Public Schools,McCormack School 7-12 Conversion Phases 1-2,Refurbish building interior to facilitate grade 7-12 conversion.,Boston Public Schools,In Construction,Dorchester,"3,000,000", -   , -   , -   , -   ,"200,000","2,800,000", -   , -   , -   , -   , -   , -   ,"3,000,000"
Boston Public Schools,Quincy School Exterior Upgrades,"Repair masonry and replace roof, windows, and exterior doors.",Public Facilities Department,In Design,Chinatown,"15,360,000","6,420,705", -   , -   ,"168,785","391,215","8,000,000","13,220,705", -   , -   , -   , -   , -   ,"21,780,705"
Environment Department,Renew Boston Trust Phase 2,Identify energy retrofit project opportunities in City owned buildings that are self-financed by future energy savings. The City will implement the program through contracts with Energy Service Companies (ESCOs) that will guarantee the energy savings.,Public Facilities Department,In Construction,Citywide,"20,926,000", -   , -   ,"415,159","10,358,968","6,141,032","3,500,000","926,000","189,854","225,305", -   , -   , -   ,"21,341,159"
Environment Department,Renew Boston Trust Phase 3,Identify energy retrofit project opportunities in City owned buildings that are self-financed by future energy savings. The City will implement the program through contracts with Energy Service Companies (ESCOs) that will guarantee the energy savings.,Public Facilities Department,In Design,Citywide,"20,000,000","45,000,000", -   , -   , -   , -   ,"9,000,000","56,000,000", -   , -   ,"2,000,000","11,000,000", -   ,"78,000,000"
Boston Centers for Youth and Families,BCYF Hyde Park Community Center,"Interior and exterior building renovation including improvements to athletic facilities, redesign of the front entrance, window and door replacements, and other facility upgrades to enable using the facility as a sheltering site year-round.",Public Facilities Department,To Be Scheduled,Hyde Park,"1,000,000", -   , -   , -   , -   , -   ,"100,000","900,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Public Schools,Snowden International School Roof,Replace roof.,Public Facilities Department,In Construction,Back Bay,"1,301,635", -   , -   , -   ,"84,949","500,000","716,686", -   , -   , -   , -   , -   , -   ,"1,301,635"
Parks and Recreation Department,Walker Playground,Upgrades to play lot.,Parks and Recreation Department,In Construction,Mattapan,"1,215,000", -   , -   , -   ,"78,736","731,264","405,000", -   , -   , -   , -   , -   , -   ,"1,215,000"
Boston Public Schools,Radiator Covers at Various Schools,Replace radiator covers at various schools.,Boston Public Schools,Implementation Underway,Various neighborhoods,"1,000,000", -   , -   , -   , -   ,"250,000","500,000","250,000", -   , -   , -   , -   , -   ,"1,000,000"
Parks and Recreation Department,Walnut Park Play Area,Upgrade play lot.,Parks and Recreation Department,In Design,Roxbury,"1,340,000", -   , -   , -   , -   ,"100,000","500,000","740,000", -   , -   , -   , -   , -   ,"1,340,000"
Boston Public Schools,Security Related Improvements at Various Schools II,"Security-related improvements at various schools, including installing or upgrading PA and alarm systems.",Boston Public Schools,Annual Program,Citywide,"2,810,000", -   , -   , -   , -   ,"50,000","1,250,000","1,510,000", -   , -   , -   , -   , -   ,"2,810,000"
Boston Public Library,South End Branch Library Study,"This project will conduct a facility assessment, review neighborhood goals, develop an updated building program that reflects the BPL's strategic vision supporting the future needs of the neighborhood, and support additional interior improvements.",Public Facilities Department,To Be Scheduled,South End,"250,000", -   ,"750,000", -   , -   , -   ,"250,000","750,000", -   , -   , -   , -   , -   ,"1,000,000"
Transportation Department,Traffic Signal Construction at 5 locations,Design and construct safety improvements to various traffic signals throughout the City.,Transportation Department,In Design,Various neighborhoods,"2,400,000","1,000,000", -   , -   , -   ,"100,000","300,000","3,000,000", -   , -   , -   , -   , -   ,"3,400,000"
Public Works Department,Whittier Street Housing Development Roadways,Reconstruct roads and sidewalks in the Whittier Street housing development in conjunction with a $30M HUD grant to revitalize the development and surrounding neighborhood.,Public Works Department,In Design,Roxbury, -   , -   , -   ,"1,000,000", -   , -   , -   , -   , -   , -   ,"1,000,000", -   , -   ,"1,000,000"
Police Department,Special Operations Unit Facility Upgrades,Study to evaluate relocation of the EOD Unit.,Public Facilities Department,To Be Scheduled,N/A,"100,000", -   , -   , -   , -   , -   , -   ,"100,000", -   , -   , -   , -   , -   ,"100,000"
Boston Public Schools,UP Academy Dorchester,Replace unit ventilators.,Public Facilities Department,In Design,Dorchester,"3,440,000","1,160,000", -   , -   , -   ,"150,181","1,200,000","3,249,819", -   , -   , -   , -   , -   ,"4,600,000"
Public Works Department,ADA/AAB Pedestrian Ramps,Install or reconstruct pedestrian ramps to conform to current Americans With Disabilities Act (ADA) and Architectural Access Board (AAB) regulations.,Public Works Department,Annual Program,Citywide,"4,800,000","20,000,000","5,300,000","27,000,000", -   ,"100,000","1,900,000","28,100,000","6,096,570","5,903,430","13,100,000","1,900,000", -   ,"57,100,000"
Boston Public Schools,Accessibility Improvements,"Upgrade facilities at various schools to increase building accessibility, including improvements to ramps, doors, and elevators.",Public Facilities Department,To Be Scheduled,Citywide,"1,000,000", -   , -   , -   , -   , -   ,"500,000","500,000", -   , -   , -   , -   , -   ,"1,000,000"
