,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget,total
225,Transportation Department,Southwest Neighborhood Transit Action Plan,Study and develop a Transportation Action Plan for the southwest neighborhoods of Boston,Transportation Department,New Project,Various neighborhoods,0,1200000,0,0,0,0,0,0,250000,950000,0,0,0,0,0,1200000,3600000
226,Boston Public Schools,ARP 2021 at 4 Schools,Replace windows and doors at Boston Day and Evening Academy and  the Hernandez School. Replace boiler at the Russell School and Henderson Upper School.,Public Facilities Department,To Be Scheduled,Various neighborhoods,840000,0,0,360000,0,0,0,0,250000,590000,0,0,100000,260000,0,1200000,3600000
227,Transportation Department,Lost Village Streets,"Design and construct improvements to roads, sidewalks and signals in the Lost Village section of Charlestown.",Transportation Department,In Design,Charlestown,0,666000,0,534000,0,0,0,0,666000,0,0,0,125000,409000,0,1200000,3600000
228,Parks and Recreation Department,Daisy Field at Olmsted Park,"Park renovation including two softball fields, pathways, and LED sports lighting.",Parks and Recreation Department,In Design,Jamaica Plain,1140000,0,0,0,0,0,0,100000,900000,140000,0,0,0,0,0,1140000,3420000
229,Parks and Recreation Department,Bynoe Park,Upgrades to play equipment.,Parks and Recreation Department,In Design,Roxbury,1120000,0,0,0,0,0,0,60000,800000,260000,0,0,0,0,0,1120000,3360000
230,Parks and Recreation Department,Doherty-Gibson Playground ,Refurbish play lot and adjacent passive areas.,Parks and Recreation Department,In Construction,Dorchester,1120000,0,0,0,0,0,91050,178950,850000,0,0,0,0,0,0,1120000,3360000
231,Police Department,"Window Replacment at District C-6, C-11 , and E-18","Replace windows at District stations C6, C11 and E18.  ",Public Facilities Department,New Project,Various neighborhoods,0,1100000,0,0,0,0,0,0,250000,850000,0,0,0,0,0,1100000,3300000
232,Boston Public Schools,Adams School Roof and Masonry,Replace roof and repair parapet masonry.,Public Facilities Department,In Construction,East Boston,1090051,0,0,0,0,0,47665,400000,642386,0,0,0,0,0,0,1090051,3270153
233,Parks and Recreation Department,Paula Titus Park,Design and construction of a new park.,Parks and Recreation Department,In Design,Roxbury,1000000,0,0,0,0,0,0,0,25000,975000,0,0,0,0,35000,1035000,3070000
234,Parks and Recreation Department,Boston Common Tadpole Play Lot,"Revitalize the Boston Common playground including new play equipment, safety surfacing and site furnishings.",Parks and Recreation Department,To Be Scheduled,Beacon Hill,150000,850000,0,0,0,0,0,0,50000,950000,0,0,0,0,0,1000000,3000000
235,Parks and Recreation Department,George Wright Golf Course,"Ongoing improvements including drainage, paving, and other miscellaneous items.",Parks and Recreation Department,Annual Program,Hyde Park,500000,500000,0,0,0,0,0,0,500000,500000,0,0,0,0,0,1000000,3000000
236,Police Department,Police Facility Signage,Design and installation of upgraded signage at BPD facilities.,Public Facilities Department,In Design,Various neighborhoods,1000000,0,0,0,0,0,48000,52000,250000,650000,0,0,0,0,0,1000000,3000000
237,Boston Centers for Youth and Families,Youth Budget Round 9,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,3000000
238,Boston Centers for Youth and Families,BCYF Roslindale Community Center,"Interior and exterior building renovation including improvements to athletic facilities, redesign the front entrance, window and door replacements, and other facility upgrades to enable using the facility as a sheltering site year-round.",Public Facilities Department,To Be Scheduled,Roslindale,1000000,0,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000,3000000
239,Boston Centers for Youth and Families,Youth Budget Round 8,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,3000000
240,Boston Planning and Development Agency,Little Mystic Open Space / Harborwalk,Extend Harborwalk along the edge of Little Mystic Channel on property owned by the BPDA. City funds will be used to complete the design. The Harborwalk extension will connect with the new Chelsea Street crossing to the Charlestown Navy Yard.,Boston Planning and Development Agency,New Project,Charlestown,0,1000000,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000,3000000
241,Boston Public Schools,Bates School Boilers,Replace the boilers at Bates Elementary.,Public Facilities Department,New Project,Roslindale,0,1000000,0,0,0,0,0,0,500000,500000,0,0,0,0,0,1000000,3000000
242,Boston Public Schools,Radiator Covers at Various Schools,Replace radiator covers at various schools.,Boston Public Schools,Implementation Underway,Various neighborhoods,1000000,0,0,0,0,0,0,250000,500000,250000,0,0,0,0,0,1000000,3000000
243,Boston Centers for Youth and Families,Youth Budget Round 7,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,3000000
244,Office of Arts & Culture,Chinatown Worker Statues Project,"Design, fabricate, and install four bronze figures on four separate sites in the Chinatown neighborhood of Boston.",Office of Arts and Culture,New Project,Chinatown,0,1000000,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000,3000000
245,Boston Public Schools,Accessibility Improvements,"Upgrade facilities at various schools to increase building accessibility, including improvements to ramps, doors, and elevators.",Public Facilities Department,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0,0,500000,500000,0,0,0,0,0,1000000,3000000
246,Boston Centers for Youth and Families,Youth Budget Round 6,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,332431,332431,250000,85138,0,0,0,0,0,1000000,3000000
247,Boston Centers for Youth and Families,Youth Budget Round 5,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,0,50000,250000,700000,0,0,0,0,0,1000000,3000000
248,Boston Centers for Youth and Families,Youth Budget Round 4,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,Implementation Underway,Citywide,1000000,0,0,0,0,0,5180,50000,250000,694820,0,0,0,0,0,1000000,3000000
249,Boston Public Library,South End Branch Library Study,"This project will conduct a facility assessment, review neighborhood goals, develop an updated building program that reflects the BPL's strategic vision supporting the future needs of the neighborhood, and support additional interior improvements.",Public Facilities Department,To Be Scheduled,South End,250000,0,750000,0,0,0,0,0,250000,750000,0,0,0,0,0,1000000,3000000
250,Boston Public Schools,21st Century Interior Improvements,"Improve interior spaces at various schools to promote a 21st century learning experience, including lighting, security, classroom technology, and wayfinding.",Boston Public Schools,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,1000000,3000000
251,Boston Centers for Youth and Families,Youth Budget Round 10,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,New Project,Citywide,0,1000000,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000,3000000
252,Public Works Department,Whittier Street Housing Development Roadways,Reconstruct roads and sidewalks in the Whittier Street housing development in conjunction with a $30M HUD grant to revitalize the development and surrounding neighborhood.,Public Works Department,In Design,Roxbury,0,0,0,1000000,0,0,0,0,0,0,0,0,1000000,0,0,1000000,3000000
253,Parks and Recreation Department,Moakley Park O&M Building,Design a new operations and maintenance building as part of Phase 1 park improvements.,Public Facilities Department,New Project,South Boston,0,1000000,0,0,0,0,0,0,400000,600000,0,0,0,0,0,1000000,3000000
254,Boston Public Schools,Henderson Upper School Yard,Design and construct a new school yard at the Henderson Upper School.,Public Facilities Department,In Design,Dorchester,1000000,0,0,0,0,0,0,0,500000,500000,0,0,0,0,0,1000000,3000000
255,Boston Centers for Youth and Families,BCYF Hyde Park Community Center,"Interior and exterior building renovation including improvements to athletic facilities, redesign of the front entrance, window and door replacements, and other facility upgrades to enable using the facility as a sheltering site year-round.",Public Facilities Department,To Be Scheduled,Hyde Park,1000000,0,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000,3000000
256,Boston Public Library,Central Library: McKim Fire Panel,Upgrade the McKim Building fire panel.,Boston Public Library,In Design,Back Bay,1000000,0,0,0,0,0,2300,47700,500000,450000,0,0,0,0,0,1000000,3000000
257,Transportation Department,Centre Street / South Street,Redesign portions of Centre Street and South Street in Jamaica Plain using a Complete Streets approach.,Transportation Department,In Design,Jamaica Plain,750000,250000,0,0,0,0,341690,58310,150000,450000,0,0,0,0,0,1000000,3000000
258,Parks and Recreation Department,William Devine Golf Course,"Improve drainage, paving, and other miscellaneous items.",Parks and Recreation Department,Annual Program,Roxbury,0,1000000,0,0,0,0,0,0,500000,500000,0,0,0,0,0,1000000,3000000
259,Boston Centers for Youth and Families,Pool Repairs,"Renovate and upgrade locker rooms and pools including filtration systems, pool liners, and dehumidification and HVAC systems at various BCYF/BPS pool facilities.",Boston Centers for Youth and Families,Annual Program,Citywide,1000000,0,0,0,0,0,0,390000,500000,110000,0,0,0,0,0,1000000,3000000
260,Transportation Department,Municipal Parking Lots,"Lighting, paving, re-striping, and other upgrades to municipal parking lots Citywide.",Transportation Department,Annual Program,Citywide,1000000,0,0,0,0,0,0,0,250000,750000,0,0,0,0,0,1000000,3000000
261,Environment Department,Climate Ready Boston Phase 3,Climate resilience planning for City neighborhoods and municipal facilities affected by climate change.,Environment Department,Implementation Underway,Citywide,991720,0,0,0,0,0,0,0,250000,741720,0,0,0,0,0,991720,2975160
262,Boston Public Schools,Grade K-6 School Conversions Phase 1,"Interior renovations to facilitate K-6 conversions at various schools, including adding/removing walls, installing lockers, and relocating offices.",Boston Public Schools,In Construction,Various neighborhoods,975000,0,0,0,0,0,319411,30589,550000,75000,0,0,0,0,0,975000,2925000
263,Police Department,Police Academy HVAC Repairs,Replace HVAC and boiler system at the Police Academy.,Public Facilities Department,In Design,Hyde Park,970000,0,0,0,0,0,0,20000,300000,650000,0,0,0,0,0,970000,2910000
264,Parks and Recreation Department,McGann Playground,Upgrade play lot.,Parks and Recreation Department,In Design,Hyde Park,650000,0,300000,0,0,0,0,50000,250000,650000,0,0,0,0,0,950000,2850000
265,Parks and Recreation Department,Ramsay Park Ballfield,"Ball field renovations including irrigation, site utilities, seating, backstop, fencing, and site furnishings.",Parks and Recreation Department,To Be Scheduled,South End,920000,0,0,0,0,0,0,0,50000,870000,0,0,0,0,0,920000,2760000
266,Parks and Recreation Department,McLean Playground,Improvements to basketball court and nearby areas to improve accessibility and access to the site.,Parks and Recreation Department,To Be Scheduled,East Boston,910000,0,0,0,0,0,0,0,250000,660000,0,0,0,0,0,910000,2730000
267,Transportation Department,Strategic Bike Network: Cambridge Street,Construct protected bicycle lanes on Cambridge Street in Brighton between Harvard Street and Soldiers Field Road.,Public Works Department,To Be Scheduled,Allston/Brighton,900000,0,0,0,0,0,0,0,300000,600000,0,0,0,0,0,900000,2700000
268,Parks and Recreation Department,Franklin Park Bear Dens,Repairs and other improvements necessary to secure and provide safe and compliant public access to the Bear Dens area of Franklin Park.,Parks and Recreation Department,New Project,Roxbury,0,900000,0,0,0,0,0,0,100000,800000,0,0,0,0,0,900000,2700000
269,Public Works Department,New Market One Ways ,"Redesign Massachusetts Avenue between Melnea Cass Boulevard and Theodore Glynn Way for safety improvements that improve walking, biking, and public transit access.",Public Works Department,To Be Scheduled,Roxbury,850000,0,0,0,0,0,0,0,425000,425000,0,0,0,0,0,850000,2550000
270,Transportation Department,Arboretum Gateway Path,"Construct the Arboretum Gateway Path, which will create new entrances to the Arnold Arboretum and extend the Blackwell path south to Roslindale Square. The first phase includes a new entrance at the end of Arboretum Road.",Transportation Department,In Design,Various neighborhoods,200000,100000,0,200000,0,0,0,0,100000,200000,0,0,50000,150000,500000,1000000,2500000
271,Public Works Department,East Eagle Street Shoreline,Shoreline stabilization along Chelsea Creek near East Eagle Street.,Public Works Department,In Design,East Boston,348000,0,0,0,0,0,122000,26000,200000,0,0,0,0,0,646000,994000,2336000
272,Parks and Recreation Department,Greenhouses at Franklin Park,Renovation and heating system upgrades for BPRD's green house facility.,Public Facilities Department,To Be Scheduled,Roxbury,250000,500000,0,0,0,0,0,0,50000,700000,0,0,0,0,0,750000,2250000
273,Environment Department,Mattahunt Woods Preservation,"Clean up debris, manage invasive species, and build trails to restore wetland habitat and create usable open space.",Parks and Recreation Department,To Be Scheduled,Mattapan,750000,0,0,0,0,0,0,0,375000,375000,0,0,0,0,0,750000,2250000
274,Boston Centers for Youth and Families,BCYF Security & Technology Upgrades,Improvements to technology infrastructure and security systems including cameras at all stand alone sites. ,Boston Centers for Youth and Families,To Be Scheduled,Citywide,750000,0,0,0,0,0,0,0,200000,550000,0,0,0,0,0,750000,2250000
275,Public Works Department,Street Lighting Assessment,Implement a system wide structural assessment on all City street lighting infrastructure.,Public Works Department,To Be Scheduled,Citywide,500000,250000,0,0,0,0,0,0,250000,500000,0,0,0,0,0,750000,2250000
276,Boston Public Schools,Food and Nutritional Services Technology,Purchase and install point of sale system for food services at all schools.,Boston Public Schools,Implementation Underway,Citywide,740000,0,0,0,0,0,383270,256730,100000,0,0,0,0,0,0,740000,2220000
277,Boston Public Schools,John F. Kennedy School Fire Alarms,Repair and upgrade the fire alarm system.,Public Facilities Department,New Project,Jamaica Plain,0,705000,0,0,0,0,0,0,250000,455000,0,0,0,0,0,705000,2115000
278,Parks and Recreation Department,Roslindale Wetlands Trail,"Repair and extension of perimeter walking trail and boardwalk, wetland restoration, and improvements to flood retention capacity.",Parks and Recreation Department,In Construction,Roslindale,690000,0,0,0,0,0,44322,345678,300000,0,0,0,0,0,0,690000,2070000
279,Public Works Department,District Yard Improvements ,Facility assessment and improvements to the City's district yards utilized by the Public Works Department.,Public Works Department,To Be Scheduled,Various neighborhoods,650000,0,0,0,0,0,0,0,75000,575000,0,0,0,0,0,650000,1950000
280,Environment Department,Moon Island Energy Storage,Design and installation of a photovoltaic array and battery storage unit on Moon Island to support regional fire prevention training curriculum.,Environment Department,In Design,Harbor Islands,250000,0,0,0,0,0,0,0,125000,125000,0,0,0,0,588080,838080,1926160
281,Boston Public Schools,Madison Park TVHS Study,Study to review Madison Park Technical Vocational High School.,Public Facilities Department,Study Underway,Roxbury,615000,0,0,0,0,0,0,25000,250000,340000,0,0,0,0,0,615000,1845000
282,Parks and Recreation Department,L Street Open Space Area,This new open space on L Street will create an inter-generational gathering space. The park space will provide senior residents a place to relax and socialize while encouraging young children to engage and play.,Parks and Recreation Department,In Construction,South Boston,605000,0,0,0,0,0,0,0,255000,350000,0,0,0,0,0,605000,1815000
283,Parks and Recreation Department,Clifford Playground,Develop design for a comprehensive park renovation.,Parks and Recreation Department,New Project,Roxbury,0,600000,0,0,0,0,0,0,300000,300000,0,0,0,0,0,600000,1800000
284,Parks and Recreation Department,Bussey Brook Meadow Trail at Arnold Arboretum,"Repair and extension of walking paths, wetland habitat restoration and improvements to Bussey Brook flood retention capacity.",Parks and Recreation Department,To Be Scheduled,Jamaica Plain,600000,0,0,0,0,0,0,0,25000,575000,0,0,0,0,0,600000,1800000
285,Public Works Department,Summer Street Phase 2,"Continuation of Crossroads Initiative at Summer Street to improve roadway, sidewalks, street lighting, and bicyclist safety. Phase 1 scope included area from Fort Point Channel to Boston Wharf Road. Phase 2 will extend from BCEC towards South Boston.",Public Works Department,In Design,South Boston,0,0,0,600000,0,0,0,0,0,0,0,0,300000,300000,0,600000,1800000
286,Boston Public Library,Connolly Branch Library,"Upgrade and replace mechanical systems, windows, roof, and waterproof façade. Assess space programming.",Public Facilities Department,New Project,Jamaica Plain,0,575000,0,0,0,0,0,0,150000,425000,0,0,0,0,0,575000,1725000
287,Parks and Recreation Department,Bay Village Neighborhood Park,"Comprehensive park renovation and addition of new plantings, park furniture, and interpretive feature describing neighborhood history.",Parks and Recreation Department,In Design,Bay Village,550000,0,0,0,0,0,0,10000,400000,140000,0,0,0,0,25000,575000,1700000
288,Office of Arts & Culture,The Legacy of Frederick Douglass,Fabricate and install a bronze figure grouping and construct a plaza honoring Frederick Douglass in Douglass Square.,Office of Arts and Culture,To Be Scheduled,Roxbury,550000,0,0,0,0,0,0,0,50000,500000,0,0,0,0,0,550000,1650000
289,Boston Public Schools,Dudley Street NCS HVAC,Upgrade the HVAC at the Dudley Street Neighborhood Charter School.,Public Facilities Department,New Project,Roxbury,0,513000,0,0,0,0,0,0,75000,438000,0,0,0,0,0,513000,1539000
290,Boston Public Library,Hyde Park Branch Library,"Upgrade boiler, windows, roof and façade repairs. Assess space programming.",Public Facilities Department,New Project,Hyde Park,0,500000,0,0,0,0,0,0,150000,350000,0,0,0,0,0,500000,1500000
291,Parks and Recreation Department,Jamaica Pond Boathouse Study,Programming study for Jamaica Pond Boathouse.,Public Facilities Department,To Be Scheduled,Jamaica Plain,250000,250000,0,0,0,0,0,0,50000,450000,0,0,0,0,0,500000,1500000
292,Office of Arts & Culture,Park Plaza Monument/Memorial,"Select an artist who will design, manage the fabrication and the installation of a new artwork to be installed on the site formally occupied by the Emancipation Group statue in Park Plaza.",Office of Arts and Culture,New Project,Bay Village,0,500000,0,0,0,0,0,0,50000,450000,0,0,0,0,0,500000,1500000
293,Boston Centers for Youth and Families,Facilities Assessment Study,Review and assess all Community Centers and identify areas in which services and environments can be enhanced. Create a strategic improvement plan based on the results.,Public Facilities Department,New Project,Citywide,0,500000,0,0,0,0,0,0,100000,400000,0,0,0,0,0,500000,1500000
294,Public Works Department,Chinatown Sidewalk Improvements,Improve the condition of sidewalks in historic Chinatown neighborhood.,Public Works Department,New Project,Chinatown,0,500000,0,0,0,0,0,0,300000,200000,0,0,0,0,0,500000,1500000
295,Boston Public Schools,White Stadium Study,"Assess stadium facility including east and west stands, playing field, and track. Develop preliminary designs and cost estimates.  ",Public Facilities Department,New Project,Roxbury,0,500000,0,0,0,0,0,0,175000,325000,0,0,0,0,0,500000,1500000
296,Boston Public Schools,Condon School Lighting Improvements,Upgrade lighting at Condon Elementary.,Public Facilities Department,New Project,South Boston,0,500000,0,0,0,0,0,0,250000,250000,0,0,0,0,0,500000,1500000
297,Parks and Recreation Department,Peters Park Ballfield,Address drainage issues on Little League Field.,Parks and Recreation Department,To Be Scheduled,South End,500000,0,0,0,0,0,0,0,250000,250000,0,0,0,0,0,500000,1500000
298,Parks and Recreation Department,Franklin Park White Stadium,"Develop designs for converting the field to artificial turf, track improvements, and other site work outside the stadium to better integrate the facility into the Franklin Park environment.",Parks and Recreation Department,New Project,Roxbury,0,500000,0,0,0,0,0,0,100000,400000,0,0,0,0,0,500000,1500000
299,Boston Public Schools,East Boston Elementary School Study,Study to design a future elementary school in East Boston.,Public Facilities Department,To Be Scheduled,East Boston,500000,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,500000,1500000
300,Boston Public Schools,Edwards School Study,Study to design and retrofit school for future educational programming.,Public Facilities Department,To Be Scheduled,Charlestown,500000,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,500000,1500000
301,Boston Public Schools,Art Room Upgrades at Various Schools,Upgrade art rooms at various schools across the district.,Boston Public Schools,New Project,Various neighborhoods,0,500000,0,0,0,0,0,0,150000,350000,0,0,0,0,0,500000,1500000
302,Boston Centers for Youth and Families,BCYF Mattahunt Community Center Exterior Lighting,Improve exterior lighting at the Mattahunt Community Center.  ,Public Facilities Department,To Be Scheduled,Mattapan,500000,0,0,0,0,0,0,0,50000,450000,0,0,0,0,0,500000,1500000
303,Boston Planning and Development Agency,Pier 10 Park Ferry Terminal,Develop design plans to create a ferry service from Pier 10 to North Station for more reliable transit services in the Marine Park.,Boston Planning and Development Agency,New Project,South Boston,0,500000,0,0,0,0,0,0,50000,450000,0,0,0,0,0,500000,1500000
304,Transportation Department,Fairmount Line Urban Rail Study,Commission a technical analysis on transforming the Fairmount Commuter Rail Line to a subway-like service level,Transportation Department,New Project,Various neighborhoods,0,0,0,0,500000,0,0,0,0,0,0,0,75000,425000,0,500000,1500000
305,Parks and Recreation Department,Dog Recreation Areas at Various Parks,Expand dog recreation facilities throughout the City.,Parks and Recreation Department,New Program,Citywide,0,500000,0,0,0,0,0,0,250000,250000,0,0,0,0,0,500000,1500000
306,Property Management Department,1010 Massachusetts Avenue,Programming study and building assessment of 1010 Mass. Ave.,Public Facilities Department,New Project,Roxbury,0,500000,0,0,0,0,0,0,100000,400000,0,0,0,0,0,500000,1500000
307,Environment Department,Energy Efficiency Design Services,Design services to enhance the energy efficiency of municipal capital assets.,Environment Department,Implementation Underway,Citywide,325000,0,175000,0,0,0,101990,0,150000,248010,0,0,0,0,0,500000,1500000
308,Boston Public Schools,Mattahunt Air Handling Unit,Replace air handling unit.,Boston Public Schools,New Project,Mattapan,491850,0,0,0,0,0,0,0,491850,0,0,0,0,0,0,491850,1475550
309,Boston Planning and Development Agency,Fort Point Channel Resilient Infrastructure,Develop design plans for a proposed green infrastructure project that will help reduce flood damage in Fort Point and adjacent neighborhoods.,Boston Planning and Development Agency,New Project,South Boston,0,425000,0,0,0,0,0,0,50000,375000,0,0,0,0,0,425000,1275000
310,Office of Arts & Culture,Emergent Memory (Cocoanut Grove Memorial)," Design, fabrication, site preparation, and installation of public art in Statler Park.",Office of Arts and Culture,New Project,Bay Village,0,305000,0,0,0,0,0,0,50000,255000,0,0,0,0,145000,450000,1205000
311,Public Health Commission,Northampton Square Garage,Structural and other repairs as needed.,Public Facilities Department,New Project,Roxbury,0,400000,0,0,0,0,0,0,200000,200000,0,0,0,0,0,400000,1200000
312,Property Management Department,Veronica Smith Senior Center,Replace HVAC system.,Public Facilities Department,New Project,Allston/Brighton,0,400000,0,0,0,0,0,0,100000,300000,0,0,0,0,0,400000,1200000
313,Boston Planning and Development Agency,RFMP Pier 6,Develop design plans for the replacement of the Pier 6 steel bulkhead.,Boston Planning and Development Agency,In Design,South Boston,400000,0,0,0,0,0,194757,15243,100000,90000,0,0,0,0,0,400000,1200000
314,Boston Public Library,Central Library Façade Study and Repairs,Perform a study of the condition of the facades of the Johnson and McKim buildings and make repairs as needed.,Boston Public Library,To Be Scheduled,Back Bay,400000,0,0,0,0,0,0,0,200000,200000,0,0,0,0,0,400000,1200000
315,Transportation Department,Centre Street Safety Improvements,Design and implement pedestrian and bicycle safety improvements on Centre Street in West Roxbury.,Transportation Department,In Design,West Roxbury,400000,0,0,0,0,0,0,25000,75000,300000,0,0,0,0,0,400000,1200000
316,Property Management Department,Faneuil Hall and Sam Adams Park,"Repair masonry, address drainage issues and create an accessible walkway. Install permanent decorative wrought iron gates around the basement windows and restore the bronze fixtures. ",Public Facilities Department,New Project,Financial District/Downtown,0,400000,0,0,0,0,0,0,100000,300000,0,0,0,0,0,400000,1200000
317,Parks and Recreation Department,Odom Serenity Garden,Design park improvements in conjunction with DND for a park named in memory of Steven P. Odom.,Parks and Recreation Department,In Design,Dorchester,50000,0,0,0,0,0,18980,6020,25000,0,0,0,0,0,500000,550000,1150000
318,Environment Department,Urban Wilds Land Management Plan,"Develop an Urban Wilds conservation and land management plan to establish criteria to prioritize future capital renovations, land acquisition, and management priorities for existing properties.",Environment Department,New Project,Citywide,0,350000,0,0,0,0,0,0,100000,250000,0,0,0,0,0,350000,1050000
319,Boston Planning and Development Agency,Lewis Street Flood Mitigation Study,Conduct technical analysis and develop coastal protective design options that address two near-term flood pathways identified through the 2017 Climate Ready East Boston report. ,Boston Planning and Development Agency,To Be Scheduled,East Boston,150000,0,0,0,0,0,0,150000,0,0,0,0,0,0,300000,450000,1050000
320,Parks and Recreation Department,Park Planning Studies,"Planning and related landscape design services including: capital phasing plans, development of standard details and specifications and miscellaneous planning services.",Parks and Recreation Department,Annual Program,Citywide,332383,0,0,0,0,0,39051,50000,100000,143332,0,0,0,0,0,332383,997149
321,Parks and Recreation Department,Public Garden Tool Shed,Design of facility upgrades at the Public Garden Tool Shed.,Public Facilities Department,To Be Scheduled,Beacon Hill,300000,0,0,0,0,0,0,0,100000,200000,0,0,0,0,0,300000,900000
322,Transportation Department,Electric Charging Stations,Installation of electric vehicle charging stations at various municipal lots.,Transportation Department,In Construction,Citywide,0,0,0,300000,0,0,0,0,0,0,24750,80250,195000,0,0,300000,900000
323,Transportation Department,Mission Hill Transportation Planning,Planning for pedestrian improvements.,Transportation Department,To Be Scheduled,Mission Hill,300000,0,0,0,0,0,0,0,150000,150000,0,0,0,0,0,300000,900000
324,Parks and Recreation Department,Roslindale Wetlands Phase 2,Complete trailhead improvements and wetland restoration of the entire site following in the work of Phase 1.,Parks and Recreation Department,New Project,Roslindale,0,300000,0,0,0,0,0,0,150000,150000,0,0,0,0,0,300000,900000
325,Transportation Department,Bowdoin Street/Geneva Avenue,Design transportation improvements in the Bowdoin Street and Geneva Avenue area in Dorchester.,Transportation Department,To Be Scheduled,Dorchester,300000,0,0,0,0,0,0,0,100000,200000,0,0,0,0,0,300000,900000
326,Boston Public Schools,Warren-Prescott School Lighting Improvements,Upgrade lighting at the Warren-Prescott.,Public Facilities Department,New Project,Charlestown,0,300000,0,0,0,0,0,0,150000,150000,0,0,0,0,0,300000,900000
327,Transportation Department,Transportation Action Plan Implementation,Create conceptual designs for key projects identified from planning studies and action plans.,Transportation Department,Annual Program,Various neighborhoods,300000,0,0,0,0,0,0,0,150000,150000,0,0,0,0,0,300000,900000
328,Parks and Recreation Department,Mount Hope Cemetery Paving Improvements,Survey and design to prioritize roadway and landscape improvements at Mt. Hope Cemetery.,Parks and Recreation Department,New Project,Mattapan,0,300000,0,0,0,0,0,0,75000,225000,0,0,0,0,0,300000,900000
329,Boston Public Schools,Holmes School Plumbing,Replace and repair the plumbing.,Public Facilities Department,New Project,Dorchester,0,288000,0,0,0,0,0,0,50000,238000,0,0,0,0,0,288000,864000
330,Transportation Department,Rapid Bus Transportation Seaport,Develop an action plan and implementation program for rapid bus transit between North Station and the Seaport.,Transportation Department,Study Underway,South Boston,0,0,0,260000,0,0,0,0,0,0,0,60000,200000,0,0,260000,780000
331,Boston Public Library,South Boston Branch Library Study,Conduct a facility assessment and develop a building program that reflects the BPL's Compass Principles and supports the needs of the neighborhood. Design and construct a new branch library.,Public Facilities Department,To Be Scheduled,South Boston,250000,0,0,0,0,0,0,0,100000,150000,0,0,0,0,0,250000,750000
332,Boston Centers for Youth and Families,BCYF Tobin Community Center Accessibility,Design wheelchair accessible entrance and other improvements including lighting.,Public Facilities Department,New Project,Mission Hill,0,250000,0,0,0,0,0,0,100000,150000,0,0,0,0,0,250000,750000
333,Office of Arts & Culture,Book Mark'd,Fabricate and install a bronze sculpture of books for the entrance of the Mattapan Branch Library.,Office of Arts and Culture,To Be Scheduled,Mattapan,250000,0,0,0,0,0,0,0,50000,200000,0,0,0,0,0,250000,750000
334,Boston Planning and Development Agency,RFMP Dry-dock 4,Develop a design for the permanent closure of the Dry-dock 4 caisson.,Boston Planning and Development Agency,In Design,South Boston,250000,0,0,0,0,0,199473,10527,40000,0,0,0,0,0,0,250000,750000
335,Public Works Department,Sidewalk Repairs,Various brick sidewalk and pedestrian ramp repairs and reconstruction.,Public Works Department,To Be Scheduled,Various neighborhoods,250000,0,0,0,0,0,0,0,125000,125000,0,0,0,0,0,250000,750000
336,Parks and Recreation Department,Ringer Playground,Design of recommendations from the master plan.,Parks and Recreation Department,To Be Scheduled,Allston/Brighton,250000,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,250000,750000
337,Parks and Recreation Department,Millennium Park Restroom Building,Design and construct permanent bathroom facilities for the park.,Public Facilities Department,New Project,West Roxbury,0,250000,0,0,0,0,0,0,100000,150000,0,0,0,0,0,250000,750000
