|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Women's Advancement                            | Women's Commission Program               | Equipment                     |                 575 | #Missing            | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Black Male Advancement                         | BMA                                      | Personnel Services            | #Missing            | #Missing            | #Missing           |     1,054,418 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Black Male Advancement                         | BMA                                      | Contractual Services          | #Missing            | #Missing            | #Missing           |       726,550 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Black Male Advancement                         | BMA                                      | Supplies & Materials          | #Missing            | #Missing            | #Missing           |        10,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Black Male Advancement                         | BMA                                      | Current Charges & Obligations | #Missing            | #Missing            | #Missing           |         2,800 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Black Male Advancement                         | BMA                                      | Equipment                     | #Missing            | #Missing            | #Missing           |         9,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Fair Housing & Equity                          | Fair Housing Commission                  | Personnel Services            |             130,809 |             179,181 |            490,302 |       406,034 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Fair Housing & Equity                          | Fair Housing Commission                  | Contractual Services          |              10,517 |               7,476 |             13,240 |       113,240 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Fair Housing & Equity                          | Fair Housing Commission                  | Supplies & Materials          |              11,678 |               3,061 |             11,822 |        11,822 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Fair Housing & Equity                          | Fair Housing Commission                  | Current Charges & Obligations |               4,301 |                 590 |              2,150 |         2,150 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Fair Housing & Equity                          | Fair Housing Commission                  | Equipment                     | #Missing            |               1,700 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Fair Housing & Equity                          | Human Rights History                     | Personnel Services            |              69,625 | #Missing            | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | LGBTQ+ Advancement                             | LGBTQ+ Admin                             | Personnel Services            | #Missing            | #Missing            | #Missing           |       220,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | LGBTQ+ Advancement                             | LGBTQ+ Admin                             | Contractual Services          | #Missing            | #Missing            | #Missing           |       202,250 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | LGBTQ+ Advancement                             | LGBTQ+ Admin                             | Supplies & Materials          | #Missing            | #Missing            | #Missing           |        15,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | LGBTQ+ Advancement                             | LGBTQ+ Admin                             | Current Charges & Obligations | #Missing            | #Missing            | #Missing           |         2,750 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | LGBTQ+ Advancement                             | LGBTQ+ Admin                             | Equipment                     | #Missing            | #Missing            | #Missing           |         5,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Commission For Persons W/Disabilities          | Disabilities                             | Personnel Services            |             465,517 |             474,251 |            504,316 |       659,933 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Commission For Persons W/Disabilities          | Disabilities                             | Contractual Services          |              13,112 |               4,993 |            112,620 |        21,150 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Commission For Persons W/Disabilities          | Disabilities                             | Supplies & Materials          |               4,625 |               4,757 |              7,000 |         7,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Equity & Inclusion Cabinet       | Commission For Persons W/Disabilities          | Disabilities                             | Equipment                     | #Missing            |                 880 | #Missing           |             0 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | OPAT Commission                          | Personnel Services            | #Missing            | #Missing            |          1,097,500 |     1,089,213 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | OPAT Commission                          | Contractual Services          | #Missing            | #Missing            |              5,000 |        99,460 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | OPAT Commission                          | Supplies & Materials          | #Missing            | #Missing            |              7,000 |        20,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | OPAT Commission                          | Current Charges & Obligations | #Missing            | #Missing            | #Missing           |        98,871 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | OPAT Commission                          | Equipment                     | #Missing            | #Missing            |              6,000 |         6,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | Civilian Review Board (CRB)              | Personnel Services            | #Missing            | #Missing            |             50,000 |        50,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | Civilian Review Board (CRB)              | Contractual Services          | #Missing            | #Missing            |              4,000 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | Civilian Review Board (CRB)              | Supplies & Materials          | #Missing            | #Missing            |              1,000 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | Internal Affairs Oversight Panel (IOAP)  | Personnel Services            | #Missing            | #Missing            |            125,000 |       125,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | Internal Affairs Oversight Panel (IOAP)  | Contractual Services          | #Missing            | #Missing            |              4,000 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| OPAT Cabinet                     | Office of Police Accountability & Transparency | Internal Affairs Oversight Panel (IOAP)  | Supplies & Materials          | #Missing            | #Missing            |              1,000 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | PM Administration                        | Personnel Services            |           1,732,549 |           1,806,599 |          3,212,928 |     1,917,832 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | PM Administration                        | Contractual Services          |             110,185 |              82,967 |            111,598 |       111,598 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | PM Administration                        | Supplies & Materials          |              21,708 |              15,995 |             22,560 |        15,861 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | PM Administration                        | Current Charges & Obligations |              48,626 |              85,868 |            104,040 |       109,440 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Operations                      | Personnel Services            |           1,898,590 |           1,673,554 |          1,599,935 |     2,383,650 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Operations                      | Contractual Services          |           5,835,484 |           5,472,361 |          5,889,387 |     6,525,432 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Operations                      | Supplies & Materials          |             203,272 |              90,203 |            662,625 |       162,625 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Operations                      | Current Charges & Obligations |               6,608 |               6,374 |             10,025 |        41,094 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Operations                      | Equipment                     |             142,486 |              45,806 |             28,127 |       104,225 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Alterations & Repair                     | Personnel Services            |             742,907 |             504,369 |            635,640 |       709,952 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Alterations & Repair                     | Contractual Services          |           2,419,527 |           3,861,197 |            888,582 |     1,436,905 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Alterations & Repair                     | Supplies & Materials          |             154,275 |              46,456 |             69,965 |        69,965 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Alterations & Repair                     | Equipment                     |             198,402 |             570,761 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Enforcement                              | Personnel Services            |           2,891,963 |           2,479,754 |          1,333,015 |     2,593,463 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Enforcement                              | Contractual Services          |              83,193 |              95,733 |             92,459 |        94,918 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Enforcement                              | Supplies & Materials          |              81,796 |             124,976 |             90,271 |        80,501 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Enforcement                              | Current Charges & Obligations |               7,361 |               8,657 |              8,000 |         8,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Enforcement                              | Equipment                     |               3,919 |                  37 |             35,627 |        40,072 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Security Systems                         | Personnel Services            |             710,978 |             667,934 |            665,317 |       706,928 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Security Systems                         | Contractual Services          |               5,620 |               9,449 |             15,586 |        15,586 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Security Systems                         | Supplies & Materials          |              17,117 |               6,076 |             20,130 |        20,130 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Security Systems                         | Current Charges & Obligations |                   4 |               1,914 |                900 |           900 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Security Systems                         | Equipment                     |              22,696 |              11,104 |              7,000 |        20,636 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Systems                         | Personnel Services            |             793,369 |             564,903 |            755,310 |       801,142 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Systems                         | Contractual Services          |           1,795,585 |           1,101,132 |          1,488,385 |     1,605,650 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Systems                         | Supplies & Materials          |              56,253 |              33,466 |             54,500 |        54,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Systems                         | Current Charges & Obligations |               1,400 |               1,350 |              2,500 |         2,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Property Management Department                 | Building Systems                         | Equipment                     |               2,005 |                 970 |              3,000 |         3,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Public Facilities Department                   | PFD Capital Construction                 | Personnel Services            |           6,279,941 |           6,809,366 |          7,524,063 |     8,297,445 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Public Facilities Department                   | PFD Capital Construction                 | Contractual Services          |             326,305 |             332,634 |            114,520 |       470,260 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Public Facilities Department                   | PFD Capital Construction                 | Supplies & Materials          |              23,806 |               9,799 |             26,444 |        27,012 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Public Facilities Department                   | PFD Capital Construction                 | Current Charges & Obligations |              14,089 |              11,159 |             27,200 |        21,700 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Public Facilities Department                   | PFD Capital Construction                 | Equipment                     | #Missing            | #Missing            |              5,800 |         5,800 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Inspectional Services Department               | ISD Commissioner's Office                | Personnel Services            |             784,045 |             843,404 |          1,116,119 |       993,801 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Operations                       | Inspectional Services Department               | ISD Commissioner's Office                | Contractual Services          |             466,505 |             394,930 |            451,658 |       277,751 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
