Applicant Street,Applicant Zip Code,Type of Award,Race and Ethnicity,Primary Language Spoken,Gender Identity,Do you have a mobile housing voucher?,Receive SNAP/EBT Benefits?,How many in household?,Total Monthly Income all sources,Are you currently employed?,Total Amount Awarded,Date Payment Issued,Disposition of case,"If ineligible, why?",longitude,latitude
Chelsea st,02128,Utility Payments,Latino,Spanish,Female,No,No,1.0,0,Yes,358.84,3/1/2022,Approved,,-71.0257,42.3642
Chelsea St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,3.0,1840,,4000.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Future Stipend; Rental Arrears,White,English,Male,No,No,3.0,2800,,4000.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,,,3.0,2800,,12600.0,,Approved,,-71.0257,42.3642
Chelsea Street,02128,Rental Arrears,Latino,Spanish,Female,,,4.0,0,,3900.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,Spanish,Female,No,Yes,3.0,3200,,1200.0,,Approved,,-71.0257,42.3642
Chelsea St.,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,2.0,0,,13300.0,,Approved,,-71.0257,42.3642
Chelsea Street,02128,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,,,3.0,800,Yes,12152.89,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,Spanish,Male,No,No,1.0,2060,,6000.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Other Race,Spanish,Female,,,3.0,1800,,4000.0,,Approved,,-71.0257,42.3642
Chelsea Street,02128,Rental Arrears,Latino,Spanish,Female,No,No,1.0,1300,Yes,5600.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,Spanish,Female,No,No,3.0,2068,,6000.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,English,Female,,,4.0,0,,4000.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,Spanish,Female,No,No,3.0,0,,6000.0,,Approved,,-71.0257,42.3642
Chelsea Street,02128,Rental Arrears,Latino,Spanish,Male,,,3.0,0,,4000.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Moving Costs,Multi-Racial,Spanish,Female,No,No,4.0,2000,Yes,9300.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Future Stipend; Rental Arrears,Middle Eastern/West Asian or North African; White,Arabic,Male,No,No,1.0,1724,,5200.0,,Approved,,-71.0257,42.3642
Chelsea Street,02128,Future Stipend; Rental Arrears,Latino,English,Male,No,No,1.0,4403.58,Yes,9600.0,3/22/2022,Approved,,-71.0257,42.3642
Chelsea St,02128,Future Stipend; Rental Arrears,White;Latino;Multi-Racial;Native Hawaiian or Other Pacific Islander,English,Female,No,No,2.0,100,No,8500.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,Spanish,Female,No,No,4.0,3202,,6000.0,,Approved,,-71.0257,42.3642
Chelsea St.,02128,Future Stipend; Rental Arrears,Latino,Spanish,,,,2.0,1400,,5775.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,White,Spanish,Female,,,4.0,#ERROR!,,3000.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,White,Spanish,Male,,,2.0,0,,3900.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,Spanish,Female,No,No,3.0,0,,6000.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,Spanish,Female,No,Yes,4.0,1200,,6000.0,,Approved,,-71.0257,42.3642
Chelsea Street,02119,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,4.0,2000,No,9399.0,,Approved,,-71.0953,42.3251
Chelsea Street,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,3.0,1968,Yes,9628.8,,Approved,,-71.0257,42.3642
Chelsea Street,02128,Rental Arrears,Latino,English,Not reported,,,3.0,45000,,3900.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,,Latino,Spanish,Male,No,No,4.0,1200,,0.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,Spanish,Male,No,No,4.0,1200,,5600.0,,Approved,,-71.0257,42.3642
Chelsea St,02128,Rental Arrears,Latino,English,Male,,,6.0,48000,,4000.0,,Approved,,-71.0257,42.3642
Chelsea Street,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,4.0,1600,,15000.0,,Approved,,-71.0257,42.3642
Chelsea Street,02128,Rental Arrears,Latino,Spanish,Male,,,3.0,2400,,14749.0,4/19/2021,Approved,,-71.0257,42.3642
Chelsea Street,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,4.0,800,Yes,12600.0,,Approved,,-71.0257,42.3642
Cheney st,02121,Utility Payments,White,English,Female,No,Yes,2.0,770,No,797.93,,Approved,,-71.0745,42.2973
Cheney St,02121,Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,1.0,784,No,912.32,1/7/2022,Approved,,-71.0745,42.2973
CHENEY ST,02121,Rental Arrears,Latino,English,Female,No,Yes,2.0,839,No,8882.7,6/10/2022,Approved,,-71.0745,42.2973
Cheney St.,02121,Rental Arrears,Multi-Racial,Spanish,Female,No,Yes,1.0,1280,Yes,3101.07,4/22/2022,Approved,,-71.0745,42.2973
Cheney Street,02121,Rental Arrears,Black/African American,English,Female,Yes,Yes,3.0,658,No,5721.26,8/5/2022,Approved,,-71.0745,42.2973
cheney st,02121,Rental Arrears; Utility Payments,Latino,English,Female,No,Yes,2.0,500,No,6523.12,,Approved,,-71.0745,42.2973
Cheney St,02121,Rental Arrears,Black/African American,English,Female,No,Yes,1.0,774,No,2575.36,,Approved,,-71.0745,42.2973
cheney st,02121,Rental Arrears; Utility Payments,Latino,Spanish,Female,No,Yes,4.0,2600,Yes,6905.19,,Approved,,-71.0745,42.2973
Cheney Street,02122,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,,,3.0,2200,No,5929.0,,Approved,,-71.0745,42.2973
Cheney st,02121,Rental Arrears; Utility Payments,Latino,Spanish,Female,No,Yes,2.0,1738,Yes,1751.73,5/20/2022,Approved,,-71.0745,42.2973
Cheney Street,02121,Rental Arrears,Black/African American,English,Female,No,No,1.0,2540.31,Yes,10000.0,8/19/2022,Approved,,-71.0745,42.2973
Chester St,02134,Future Stipend; Rental Arrears,White,English,Female,No,No,1.0,1332,No,4875.0,,Approved,,-71.1329,42.3535
Chester Street,02134,Rental Arrears,Asian,Chinese,Female,,,1.0,0,,3300.0,,Approved,,-71.1329,42.3535
Chesterfield Street,02136,Rental Arrears,Black/African American,English,Male,,,1.0,800,No,14480.0,,Approved,,-71.1261,42.254
Chestnut Street,02104,Rental Arrears,White,English,Male,,,1.0,1800,No,12584.0,,Approved,,,
Chestnut Ave,02123,Rental Arrears,Latino,Spanish,Female,,,3.0,2200,,4000.0,,Approved,,-70.9196,42.3389
Chestnut Avene,02130,Future Stipend,Latino,Spanish,Female,,,3.0,800,No,4200.0,,Approved,,-71.1115,42.3126
Chestnut Hill,02135,Future Stipend; Rental Arrears,White,English,Male,No,Yes,1.0,0,No,7965.56,,Approved,,-71.1566,42.3478
Chestnut Hill,02135,Future Stipend; Moving Costs,Black/African American,English,Female,No,No,1.0,3218,Yes,4791.0,10/22/2021,Approved,,-71.1566,42.3478
Chestnut Ave,02130,Future Stipend,White,English,Female,No,Yes,1.0,0,No,3600.0,,Approved,,-71.1115,42.3126
Chestnut Ave.,02130,Future Stipend,White,English,Female,No,Yes,1.0,0,No,3600.0,,Approved,,-71.1115,42.3126
Chestnut Hill,02135,Rental Arrears,Asian,,Female,,,2.0,0,No,8905.0,,Approved,,-71.1566,42.3478
Chestnut Hill,02135,Future Stipend; Rental Arrears,Asian,Other,Female,No,No,5.0,3630,Yes,13200.0,,Approved,,-71.1566,42.3478
Chestnut Ave,02130,Rental Arrears,American Indian or Alaskan Native,English,Female,No,Yes,4.0,530.77,Yes,6650.0,7/8/2022,Approved,,-71.1115,42.3126
Chestnut Avenue,02130,Rental Arrears,American Indian or Alaskan Native,English,Female,,,,0,,3340.0,,Approved,,-71.1115,42.3126
Child St,02130,Future Stipend; Rental Arrears,Multi-Racial,English,Male,No,No,1.0,1350,No,14550.0,2/1/2022,Approved,,-71.1115,42.3126
Chipman St,02124,Rental Arrears,Black/African American,English,Male,,,1.0,267,,4000.0,,Approved,,-71.0717,42.2918
Chiswick Road,02135,Future Stipend,White;Latino,English,Male,,,1.0,0,,3900.0,,Approved,,-71.1566,42.3478
Chiswick Road,02135,Future Stipend,White;Latino,English,Male,No,No,1.0,1284,No,3900.0,,Approved,,-71.1566,42.3478
Chiswick Road,02135,Future Stipend; Rental Arrears,White;Latino,English,Male,No,No,1.0,1324.4,No,2200.0,,Approved,,-71.1566,42.3478
Chiswick Road,02135,Rental Arrears,Asian,English,Female,,,3.0,2300,,4000.0,,Approved,,-71.1566,42.3478
Circuit Street,02119,Rental Arrears,Black/African American,English,Female,,,1.0,1126,Yes,2380.0,,Approved,,-71.0953,42.3251
Circuit Street,02119,Moving Costs,Black/African American,English,Female,,,3.0,3942.91,Yes,3982.0,,Approved,,-71.0953,42.3251
Circuit St,02119,Rental Arrears,Black/African American; Black/African American; Indigenous; White,English,Male,,,3.0,41500,Unemployment application was accepted,7200.0,,Approved,,-71.0953,42.3251
Circuit St,02119,Rental Arrears; Utility Payments,Multi-Racial,English,Female,,,4.0,2414,No,15000.0,,Approved,,-71.0953,42.3251
Clare Ave,02136,Future Stipend; Rental Arrears,Latino,English,Female,No,No,3.0,1843.2,Yes,5246.12,6/10/2022,Approved,,-71.1261,42.254
Clare Ave,02136,Rental Arrears,Latino,English,Female,,,3.0,3024,No,3021.0,,Approved,,-71.1261,42.254
Clare Ave,02136,Future Stipend; Rental Arrears,Latino,English,Female,,,4.0,3024,Yes,8300.0,,Approved,,-71.1261,42.254
Clare Ave,02136,,Latino,English,Female,No,Yes,3.0,0,,0.0,,Approved,,-71.1261,42.254
Clare Ave,02136,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,2.0,1100,,4000.0,,Approved,,-71.1261,42.254
Clarence Street,02119,Future Stipend; Rental Arrears,Black,Cape Verdean Creole,Female,No,Yes,1.0,806,No,2000.0,,Approved,,-71.0953,42.3251
Clarendon Street,02116,Rental Arrears,Latino,Spanish,Female,No,No,1.0,1649,Yes,4752.0,,Approved,,-71.0768,42.3492
Clark St,02109,Future Stipend; Rental Arrears,Latino,English,,No,No,1.0,2400,,6000.0,,Approved,,-71.0545,42.36
clarkson st,02125,Moving Costs,Black/African American,English,Female,Yes,Yes,1.0,1411.38,Yes,1986.0,,Approved,,-71.0745,42.2973
Clarkwood St,02126,Rental Arrears,Multi-Racial,English,Female,No,Yes,2.0,249,,6000.0,,Approved,,-71.0939,42.2739
Clarkwood Street,02126,Utility Payments,Black/African American,English,Female,No,No,3.0,1600,Yes,1186.85,,Approved,,-71.0939,42.2739
Clayborn St,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,,,4.0,0,No,4900.0,,Approved,,-71.0717,42.2918
claybourne st,02124,Rental Arrears,Latino,English,Male,No,No,1.0,0,No,4900.0,9/30/2022,Approved,,-71.0717,42.2918
Claybourne Street,02124,Rental Arrears,Black/African American,English,Male,No,No,1.0,2794,Yes,5600.0,,Approved,,-71.0717,42.2918
Claybourne St.,02124,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,1.0,0,No,8700.0,,Approved,,-71.0717,42.2918
Claybourne St,02124,Rental Arrears,Black/African American,Cape Verdean Creole,Male,No,No,3.0,0,,6000.0,,Approved,,-71.0717,42.2918
Claybourne Street,02124,Rental Arrears,Black/African American,Cape Verdean Creole,Male,,,3.0,2268,No,3789.0,4/27/2021,Approved,,-71.0717,42.2918
Clayton St,02122,Future Stipend,Latino,Spanish,Male,,,3.0,1928,No,3600.0,,Approved,,-71.0745,42.2973
Clayton St,02122,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,3.0,1148,,4000.0,,Approved,,-71.0745,42.2973
Clayton St,02122,,Latino,Spanish,Female,No,No,2.0,306,,3900.0,,Approved,,-71.0745,42.2973
Clayton St,02122,Future Stipend,Latino,English,Female,No,No,1.0,0,,4200.0,,Approved,,-71.0745,42.2973
Clementine Park,02124,Rental Arrears,Asian,,Not reported,,,6.0,3200,,3500.0,,Approved,,-71.0717,42.2918
Clementine Park,02124,Future Stipend; Rental Arrears,Asian,Vietnamese,Female,,,2.0,794,,10500.0,,Approved,,-71.0717,42.2918
Clermont St,02124,Future Stipend; Rental Arrears; Utility Payments,American Indian or Alaskan Native;Black/African American;Indigenous;Middle Eastern/West Asian or North African,English,Female,,,4.0,4000,All or some members of the household are not eligible,10541.13,10/8/2021,Approved,,-71.0717,42.2918
Cleveland St,02136,Rental Arrears,Black/African American,English,Female,No,Yes,3.0,2668,,6000.0,,Approved,,-71.1261,42.254
Clevemont Avenue,02132,Moving Costs; Rental Arrears,Black/African American,English,Female,Yes,Yes,1.0,928.1,No,2794.0,,Approved,,-71.1589,42.2787
Clifford Street,02119,Rental Arrears,Black/African American,English,Male,,,1.0,2160,Yes,15000.0,,Approved,,-71.0953,42.3251
Clifford st,02119,Utility Payments,Latino,English,Female,Yes,Yes,4.0,820,No,1729.39,6/24/2022,Approved,,-71.0953,42.3251
Clifton St,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,2.0,328,No,7000.0,,Approved,,-71.0745,42.2973
clive st,02130,Rental Arrears,Latino,Spanish,Female,No,Yes,1.0,800,No,17000.0,,Approved,,-71.1115,42.3126
Cobden ,02119,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,0,No,5400.0,,Approved,,-71.0953,42.3251
Cobden street,02119,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,2.0,1048,Yes,8400.0,5/27/2022,Approved,,-71.0953,42.3251
cobden ,02119,Rental Arrears; Utility Payments,Black/African American,English,Female,No,No,4.0,1395,Yes,5089.2,,Approved,,-71.0953,42.3251
codman hill,02124,Future Stipend; Rental Arrears,Black/African American,English,,No,Yes,1.0,1400,No,8000.0,,Approved,,-71.0717,42.2918
Codman Park,02119,Rental Arrears; Utility Payments,Black/African American,English,Male,No,No,4.0,1328,No,17000.0,,Approved,,-71.0953,42.3251
Colborne RD,02135,Rental Arrears,White,Spanish,Male,No,No,1.0,250,No,15000.0,,Approved,,-71.1566,42.3478
colborne road,02135,Rental Arrears,White,Spanish,Male,No,No,1.0,200,No,17000.0,,Approved,,-71.1566,42.3478
Colborne Road,02134,Rental Arrears,Latino; White,Spanish,Female,,,3.0,300,Unemployment application was accepted,15000.0,,Approved,,-71.1329,42.3535
Colchester Street,02136,Rental Arrears,Black/African American,English,Female,,,4.0,1392,,7106.0,,Approved,,-71.1261,42.254
Colchester Street,02136,Future Stipend; Rental Arrears; Utility Payments,Multi-Racial,English,Male,,,3.0,1998,,17000.0,,Approved,,-71.1261,42.254
Colchester St,02136,Future Stipend; Rental Arrears,Latino,Spanish,Male,,,1.0,2610,Yes,11100.0,,Approved,,-71.1261,42.254
Colchester St,02136,Rental Arrears,Latino,Spanish,Male,No,Yes,1.0,2068,,6000.0,,Approved,,-71.1261,42.254
Colebrook St,02127,Future Stipend; Utility Payments,White,English,Male,No,No,3.0,2000,No,10386.85,,Approved,,-71.0375,42.3347
Colegate Rd,02131,Rental Arrears,Black,English,Female,,,1.0,2100,,3840.0,,Approved,,-71.1295,42.2836
coleman st,02125,Utility Payments,Latino,Spanish,Female,No,Yes,2.0,0,Yes,737.29,5/13/2022,Approved,,-71.0745,42.2973
Coleman st,02125,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,No,Yes,1.0,1500,No,9048.57,1/14/2022,Approved,,-71.0745,42.2973
Coleridge Street,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,3.0,1920,Yes,15000.0,,Approved,,-71.0257,42.3642
Colgate Road,02131,Future Stipend,Black/African American,English,Female,,,1.0,3280,,5350.0,4/5/2021,Approved,,-71.1295,42.2836
Colombia Rd.,02119,Future Stipend; Rental Arrears,Latino,English,Female,,,3.0,0,No,15000.0,,Approved,,-71.0953,42.3251
Colonial Ave,02124,Future Stipend; Utility Payments,Black/African American,English,Female,No,Yes,2.0,0,No,8000.0,,Approved,,-71.0717,42.2918
Colonial Ave,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,2.0,589,No,9470.0,,Approved,,-71.0717,42.2918
Colonial Ave,02124,Future Stipend; Rental Arrears; Utility Payments,Multi-Racial,English,Female,,,2.0,3772,Yes,8925.0,,Approved,,-71.0717,42.2918
Colonial Ave,02124,,Multi-Racial,English,Female,No,Yes,2.0,3400,,2100.0,,Approved,,-71.0717,42.2918
Colonial Ave,02124,Rental Arrears,Black/African American,English,Female,,,1.0,0,No,9000.0,,Approved,,-71.0717,42.2918
Colonial Ave,02124,Rental Arrears,Black/African American,English,Female,No,No,1.0,3250,,6000.0,,Approved,,-71.0717,42.2918
Colorado St,02126,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,3.0,1600,,6000.0,,Approved,,-71.0939,42.2739
Columbia Terr,02125,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,2.0,1111,Yes,16618.0,,Approved,,-71.0745,42.2973
Columbia Rd,02121,Rental Arrears,Multi-Racial,English,Female,No,Yes,1.0,#ERROR!,Yes,2610.0,7/8/2022,Approved,,-71.0745,42.2973
Columbia Rd,02121,Rental Arrears,White,English,Male,,,1.0,0,,3125.0,,Approved,,-71.0745,42.2973
Columbia Road,02124,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,No,Yes,4.0,1441,Yes,7830.0,,Approved,,-71.0717,42.2918
Columbia road,02121,Rental Arrears,Black/African American,English,Female,No,Yes,1.0,900,Yes,2943.0,9/16/2022,Approved,,-71.0745,42.2973
columbia rd,02121,Moving Costs,White,English,Male,Yes,Yes,3.0,752,No,2468.0,,Approved,,-71.0745,42.2973
Columbia rd,02121,Future Stipend; Rental Arrears; Utility Payments,Black,English,Female,No,Yes,6.0,768,No,3606.46,,Approved,,-71.0745,42.2973
Columbia rd,02121,Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,5.0,1733,Yes,3996.67,,Approved,,-71.0745,42.2973
Columbia Rd,02121,Rental Arrears,Latino,English,Female,No,No,4.0,0,,4000.0,,Approved,,-71.0745,42.2973
Columbia Rd.,02121,Rental Arrears,Black/African American,English,Male,,,1.0,0,Yes,10150.0,,Approved,,-71.0745,42.2973
Columbia Rd,02121,Future Stipend; Rental Arrears,Black/African American,Other,Male,No,No,2.0,2400,Yes,5400.0,,Approved,,-71.0745,42.2973
Columbia Road,02121,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,2.0,794,No,3642.0,11/16/2021,Approved,,-71.0745,42.2973
Columbia Road,02121,Rental Arrears,Black/African American,English,Female,Yes,Yes,3.0,1588,No,2466.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,No,2.0,2367,Yes,16070.26,,Approved,,-71.0745,42.2973
Columbia Rd,02125,,Black/African American,English,Female,No,Yes,3.0,2906,,6000.0,,Approved,,-71.0745,42.2973
Columbia Road,02125,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,3.0,0,No,12800.0,3/8/2022,Approved,,-71.0745,42.2973
Columbia Road,02125,Future Stipend; Rental Arrears,Black,Cape Verdean Creole,Male,,,1.0,1083,All or some members of the household are not eligible,6202.0,,Approved,,-71.0745,42.2973
Columbia Road,02125,Rental Arrears,Black,Cape Verdean Creole,Male,No,Yes,1.0,1338,No,3544.0,6/10/2022,Approved,,-71.0745,42.2973
Columbia Road,02125,Rental Arrears,Latino,Spanish,Female,No,No,1.0,0,No,907.0,7/15/2022,Approved,,-71.0745,42.2973
Columbia Road,02125,Rental Arrears,Black/African American,English,Female,,,1.0,268,No,2532.0,,Approved,,-71.0745,42.2973
Columbia road,02125,Utility Payments,Latino,Spanish,Female,Yes,Yes,4.0,841,No,587.26,6/22/2022,Approved,,-71.0745,42.2973
Columbia Road,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,4.0,1348,No,2637.0,,Approved,,-71.0745,42.2973
Columbia Road,02125,Rental Arrears,Black/African American,Spanish,Female,No,No,1.0,1600,Yes,4758.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Rental Arrears; Utility Payments,Latino,Spanish,Female,,,2.0,1000,Yes,3300.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,,,1.0,1012,No,7580.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Rental Arrears,Black/African American,English,Female,No,No,2.0,1200,Yes,1474.0,5/13/2022,Approved,,-71.0745,42.2973
Columbia Rd,02135,Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,3.0,3462.2,Yes,4440.1,,Approved,,-71.1566,42.3478
Columbia Rd,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,1.0,3427,,4000.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,2.0,0,,4000.0,,Approved,,-71.0745,42.2973
Columbia Road,02125,Rental Arrears; Utility Payments,Black,English,Female,No,Yes,3.0,835,Yes,2841.44,6/24/2022,Approved,,-71.0745,42.2973
Columbia Rd,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,1746,No,4758.05,,Approved,,-71.0745,42.2973
COLUMBIA RD,02125,Rental Arrears,Black/African American,English,Male,No,No,1.0,2840,Yes,13160.0,4/8/2022,Approved,,-71.0745,42.2973
Columbia Road,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,1.0,2655.29,Yes,8010.24,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Rental Arrears,Black/African American,English,Female,,,1.0,3226,,4405.0,7/21/2021,Approved,,-71.0745,42.2973
Columbia Rd,02125,,Latino,English,Male,No,No,2.0,1420,,4000.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Future Stipend,Black/African American; White,English,Male,,,4.0,100,,2250.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Future Stipend; Rental Arrears,Asian; Black/African American,English,Male,,,4.0,3068,No,12000.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Future Stipend,Asian; Black/African American,English,Male,No,No,4.0,3204,,6000.0,,Approved,,-71.0745,42.2973
COLUMBIA ROAD,02125,Future Stipend; Rental Arrears,Asian,Vietnamese,Female,No,Yes,3.0,384,No,6000.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Rental Arrears,Asian,English,Not reported,,,4.0,5000,,4000.0,,Approved,,-71.0745,42.2973
Columbia Rd,02127,Rental Arrears,White,English,Not reported,,,,2900,,3870.0,,Approved,,-71.0375,42.3347
Columbia Road,02127,Rental Arrears,White,English,Female,,,1.0,0,,15000.0,,Approved,,-71.0375,42.3347
Columbia Rd,02125,Rental Arrears,Black/African American,English,Female,,,2.0,2630,Yes,4015.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Rental Arrears,Black/African American,English,Female,,,3.0,3623,Yes,4244.0,,Approved,,-71.0745,42.2973
Columbia Rd,02125,Rental Arrears,Latino,English,Female,,,2.0,4179,,4112.0,,Approved,,-71.0745,42.2973
Columbia Road,02125,Rental Arrears,Black/African American,Haitian Creole,Female,,,3.0,987.43,,3199.0,,Approved,,-71.0745,42.2973
Columbia Road,02125,Rental Arrears,Black/African American,English,Female,,,2.0,1499.24,,5249.0,,Approved,,-71.0745,42.2973
Columbus Avenue,02116,Future Stipend; Rental Arrears,White,English,Male,No,No,1.0,0,No,4740.0,,Approved,,-71.0768,42.3492
Columbus Ave,02116,Future Stipend; Rental Arrears,Black/African American,English,Female,,,2.0,2800,Yes,4899.0,,Approved,,-71.0768,42.3492
Columbus Ave,02116,Rental Arrears,Black,English,Male,,,2.0,3000,,4000.0,,Approved,,-71.0768,42.3492
Columbus Ave,02116,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,3.0,2560,Yes,14328.0,,Approved,,-71.0768,42.3492
Columbus Ave,02116,Rental Arrears,Black/African American,English,Female,No,Yes,2.0,2890,Yes,6702.0,,Approved,,-71.0768,42.3492
Columbus Ave.,02116,Rental Arrears,Black/African American,English,Male,No,No,3.0,0,No,12248.0,,Approved,,-71.0768,42.3492
Columbus Ave,02116,Rental Arrears,Black/African American; Latino,English,Female,No,No,2.0,0,No,17000.0,,Approved,,-71.0768,42.3492
Columbus Ave,02118,Rental Arrears,Black/African American,English,Male,No,No,1.0,2000,Yes,3881.0,,Approved,,-71.0729,42.3362
Columbus Avenue,02118,Rental Arrears,Black/African American,Other,Female,No,No,1.0,867,Yes,5013.0,,Approved,,-71.0729,42.3362
Columbus Avenue,02118,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,1.0,1271,No,5640.0,,Approved,,-71.0729,42.3362
Columbus Avenue;,02118,Rental Arrears,Black/African American,English,Female,No,No,1.0,1271,No,4178.51,,Approved,,-71.0729,42.3362
Columbus ave,02118,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,3.0,0,Yes,9695.0,,Approved,,-71.0729,42.3362
Columbus ave,02118,Rental Arrears,Asian,English,Female,No,Yes,2.0,1848,Yes,1671.0,8/5/2022,Approved,,-71.0729,42.3362
Columbus Avene,02118,Rental Arrears,White,Russian,Female,No,No,2.0,3800,Yes,2436.0,,Approved,,-71.0729,42.3362
columbus ave,02118,Rental Arrears,Latino,Spanish,Male,No,Yes,2.0,537.5,Yes,3270.0,,Approved,,-71.0729,42.3362
"Columbus Ave,",02118,Rental Arrears,Other Race,English,Male,,,3.0,300,,3057.0,,Approved,,-71.0729,42.3362
Columbus Ave,02121,Future Stipend; Moving Costs,Black/African American,English,Male,No,No,1.0,1566,Yes,12000.0,,Approved,,-71.0745,42.2973
Columbus Ave,02119,Future Stipend,Black/African American,English,Female,No,Yes,1.0,1836,Yes,3711.0,10/15/2021,Approved,,-71.0953,42.3251
Columbus Ave,02119,Rental Arrears,White,English,Not reported,,,2.0,500,,3840.0,,Approved,,-71.0953,42.3251
Columbus Avenue,02119,Utility Payments,Latino,Spanish,Male,No,Yes,3.0,1020,Yes,1717.0,,Approved,,-71.0953,42.3251
Columbus Ave,02119,Rental Arrears,Latino,,Female,,,2.0,600,,4000.0,,Approved,,-71.0953,42.3251
Columbus Ave,02127,Rental Arrears,White,English,Female,No,No,1.0,3137,,5622.0,,Approved,,-71.0375,42.3347
Commercial St,02109,Rental Arrears,White,English,Male,No,No,1.0,1896,,6000.0,,Approved,,-71.0545,42.36
Commonwealth Crt,02135,Rental Arrears,Black,,Female,,,,2000,,1650.0,,Approved,,-71.1566,42.3478
Commonwealth Ter,02135,,Black/African American,English,Male,No,No,1.0,1000,,2400.0,,Approved,,-71.1566,42.3478
Commonwealth Terrace,02135,Rental Arrears,Black/African American,English,Male,No,Yes,4.0,1203,Unemployment application was denied,3200.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02116,Rental Arrears,Latino,Spanish,Male,No,No,2.0,0,No,10000.0,,Approved,,-71.0768,42.3492
Commonwealth Ave,02115,Future Stipend; Rental Arrears,White,English,Female,No,No,1.0,1300,,6000.0,,Approved,,-71.0922,42.3427
"Commonwealth Ave,",02115,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,,,1.0,0,No,4498.27,6/30/2021,Approved,,-71.0922,42.3427
