license_num,historicallicensenum,status,license_type,issued,expires,business_name,dba_name,comments,location_comments,opening,closing,patronsout,capacity,applicant,manager,day_phone,evening_phone,address,city,state,Neighborhood,gpsx,gpsy
LB-99601,CV7MW0321,Active,CV7 Malt Wine,2013-11-29,2022-12-31,"RAFAEL E. VERAS, INDIVIDUAL",LATINO RESTAURANT,1 ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS 2 NO BAR 3 DARK SHADES REMOVED FROM FRONT WINDOWS,"In one room on the first floor; kitchen in the rear, storage in the basement.",,MIDNIGHT,12:30 AM,32.0," RAFAEL E. VERAS, INDIVIDUAL", RAFAEL E. VERAS,,6175221155,302-   Centre ST,Jamaica Plain,MA,Jamaica_Plain,763460.477490738,2942880.65872066
LB-99717,CV7MWL0024,Active,CV7 Malt Wine Liq.,2013-11-29,2022-12-31,"CARLO'S CUCINA 02134, INC.",CARLO'S CUCINA ITALIANA,1 No Bar 2 Malt Wine with Liqueurs to be served only in conjunction meals,"IN ONE ROOM WITH KITCHEN ON THE GROUND FLOOR, STORAGE IN BASEMENT.",,11:00 PM,11:30 PM,48.0," CARLO'S CUCINA 02134, INC.", BRYANT RODRIGUEZ,(617)254-9759,,131-   Brighton AVE,Allston,MA,Allston,755865.000011668,2953910.00001092
LB-99023,CV7AL0155,Active,CV7 All Alc.,2013-11-29,2022-12-31,"ORFANO, LLC",ORFANO,,,,2:00 AM,2:30 AM,167.0," ORFANO, LLC", TIFFANI E. FAISON,,,1390-1420  Boylston ST,Boston,MA,Fenway_Kenmore,763823.720384521,2950325.55024154
LB-99660,CV7MW0493,Active,CV7 Malt Wine,2013-11-29,2022-12-31,"EMMANUEL GROUP, INC.",OLIVEIRA'S RESTAURANT,1 ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS 2 NO BAR,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE IN THE BASEMENT.  ",,11:00 PM,11:30 PM,54.0," EMMANUEL GROUP, INC.", GABRIELLA D. GONCALVES,,(617)561-7277,297-299   Chelsea ST,East Boston,MA,East_Boston,783098.319333032,2962754.28555517
LB-99377,CV7AL0573,Active,CV7 All Alc.,2013-11-29,2022-12-31,"175 IPSWICH STREET, LLC",,,,,2:00 AM,2:30 AM,5316.0," 175 IPSWICH STREET, LLC", JONATHAN GILULA,,,175-  Ipswich St,Boston,MA,Fenway_Kenmore,765560.152957334,2951559.87494153
LB-102023,RETMW0035,Active,Retail All Alc.,2013-11-29,2022-12-31,"Huntington Avenue Market, Inc.",HUNTINGTON MARKET,,,,11:00 PM,,0.0," Huntington Avenue Market, Inc.", Charvak P. Karpe,,,818-820  Huntington AVE,Boston,MA,Back_Bay,762136.97076951,2946646.34582816
LB-99221,CV7AL0384,Active,CV7 All Alc.,2013-11-29,2022-12-31,CHANG XIN GLOBAL CREATIONS CO.,Bootleg Special,CAPACITY BREAKDOWN BAR CHAIRS 16 STANDING 24 DINING TABLES amp 80,,,2:00 AM,2:30 AM,120.0, CHANG XIN GLOBAL CREATIONS CO., Stephen Chan,,(781)646-4254,400     TREMONT ST,BOSTON,MA,Back_Bay,0.0,0.0
LB-99630,CV7MW0419,Active,CV7 Malt Wine,2013-11-29,2022-12-31,"TABAR, INC.",,HOURS OPERATION SUNDAY THURSDAY 7 00 M 9 P FRIDAY SATURDAY 8 10,"IN ONE ROOM ON THE FIRST FLOOR, KITCHEN IN THE REAR, STORAGE IN THE BASEMENT.",,10:00 PM,10:30 PM,18.0," TABAR, INC.", DAREK BARCIKOWSKI,,6172695178,611-   Dorchester AVE,South Boston,MA,South_Boston,775926.999998346,2945150.00000277
LB-99590,CV7MW0282,Active,CV7 Malt Wine,2013-11-29,2022-12-31,"Noodle Barn, Inc.",NOODLE BARN,1 MALT WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS 2 NO BAR 3 OPEN 9 00 M ON SUNDAYS SERVICE FOODS,"In one room, kitchen area and raw bar on the street level, storage in the rear",,MIDNIGHT,12:30 AM,58.0," NOODLE BARN, INC.", PAMISA UDOMRATANAKOSON,,(617)522-2299,707-   Centre ST,Jamaica Plain,MA,Jamaica_Plain,760393.000015885,2938749.99999681
LB-99661,CV7MW0495,Active,CV7 Malt Wine,2013-11-29,2022-12-31,"CENTER HOUSE OF PIZZA, INC.",ESPERIA GRILL & ROTISSERIE,1 ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS 2 NO BAR,"IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR, STORAGE IN THE BASEMENT.",,10:00 PM,10:30 PM,44.0," CENTER HOUSE OF PIZZA, INC.", EFTHYMIOS ATANASIADIS,,6172548337,344-   Washington ST,Brighton,MA,Brighton,749989.745350197,2952346.04391347
LB-99005,CV7AL0133,Active,CV7 All Alc.,2013-11-29,2022-12-31,"DONATO & GIANNI, LLC",IL MOLO,1 Close 11 30 P M 2 Alcoholic Beverages served Only with food orders 3 Bar 12 seats,Three (3) rooms and kitchen on basement level.,,11:30 PM,MIDNIGHT,110.0," DONATO & GIANNI, LLC",DONATO FRATTAROLI,(617)281-2691,,326-328   Commercial ST,Boston,MA,Chinatown_Financial_District,777395.057087719,2958499.8325592
LB-99307,CV7AL0483,Active,CV7 All Alc.,2013-11-29,2022-12-31,"PARIS ENTERTAINMENT, INC.",KAZE SHABU SHABU,,"In one room on first floor; One room and office with kitchen on the 2nd. floor; Basement for stock, Separated interior stairway in rear for emergency exit.  Capacity breakdown: 1st fl - 108; 2nd fl - 102.",,2:00 AM,2:30 AM,210.0," PARIS ENTERTAINMENT, INC.", YANCI LI,,(617)773-7214,1-  Harrison AVE,Boston,MA,Chinatown_Financial_District,774679.939232097,2953734.00525662
LB-99561,CV7MW0188,Active,CV7 Malt Wine,2013-11-29,2022-12-31,"SHIAWASE, INC.",MOKO JAPANESE RESTAURANT,,IN ONE ROOM ON FIRST FLOOR WITH KITCHEN IN REAR; ENTRANCES AT FRONT AND REAR; CELLAR FOR STOCK.,,1:00 AM,1:30 AM,32.0," SHIAWASE, INC.", JOY LEE,,,674- E Broadway ,South Boston,MA,South_Boston,781196.473059267,2947729.39651717
LB-99555,CV7MW0161,Active,CV7 Malt Wine Liq.,2013-11-29,2022-12-31,"SYMPHONY EXCHANGE, INC.",THE GINGER EXCHANGE,1 NO BAR,"IN ONE ROOM ON THE FIRST FLOOR, KITCHEN AND STORAGE IN THE REAR.",,12:00 AM,12:30 AM,90.0," SYMPHONY EXCHANGE, INC.", KENNETH CHAN,,(617)875-6789,250-   Huntington AVE,Boston,MA,Back_Bay,768352.999991298,2950000.00000729
LB-101907,RETAL0098,Active,Retail All Alc.,2013-11-29,2022-12-31,"Sisters Markets, Inc. ",Deluca's Market,Go to document ID 0004R,"One room first floor, two rooms basement and one room basement for stock",,11:00 PM,,0.0," Sisters Markets, Inc.", Victoria Aiello,,,239-  Newbury ST,Boston,MA,Back_Bay,769039.826487944,2952772.32013787
LB-99321,CV7AL0499,Active,CV7 All Alc.,2013-11-29,2022-12-31,"SB & G, INC.",PORTER'S BAR AND GRILL,BOARD GRANTED PERMISSION TO BEGIN FOOD ALCOHOL SERVICE 11 00 AM SERVE PATRONS 1 PM CELTICS GAME,"In one room with kitchen, entrance on Portland Street; exits into the building.",,2:00 AM,2:30 AM,90.0," SB & G, INC.", Scott Nogueira,,(617)742-0028,179-  Portland ST,Boston,MA,neighborhood doesn't match,774660.459965169,2958111.70817484
LB-101952,RETAL0166,Active,Retail All Alc.,2013-11-29,2022-12-31,"GENECCA VINTAGE LIQUORS, INC.","BEACON HILL WINE & SPIRITS, INC.",1 That all trash refuse from premises be stored only interior building until proper time that no there commercial or private least three days per week Charles Str,One room first floor; cellar for stock.,,11:00 PM,,0.0," GENECCA VINTAGE LIQUORS, INC.", EUGENE BERALDI,,7812319407,63-   Charles ST,Boston,MA,neighborhood doesn't match,772331.511707008,2955755.91876465
LB-101983,RETAL0218,Active,Retail All Alc.,2013-11-29,2022-12-31,"SHAW'S SUPERMARKETS, INC.",Star Market,MEZZANINE LEVEL WITH ALCOHOL MUST BE STAFFED ALL TIMES AN EMPLOYEE OVER 18 YEARS AGE B SECURITY POLICE NOT ONLY AREA IN FRONT PREMISES BUT ALSO NEIGHBORING BUILDINGS ON EACH SIDE TO PREVENT LOITERING C TASTINGS CONTAINED WHERE IS SOLD Board acknowledges granted petition to open 10 m on Sundays,"IN ONE ROOM ON THE FIRST FLOOR, STORAGE IN THE REAR OF THE PREMISES ALSO A LOADING DOCK TRUCK ENTRANCE IS ON EXETER STREET FOR PRODUCT DELIVERY.",,11:00 PM,,0.0," SHAW'S SUPERMARKETS, INC.", Giuseppe Granata,,(617)236-4235,53-  Huntington AVE,Boston,MA,Back_Bay,769796.279082621,2952036.3035796
LB-99251,CV7AL0418,Active,CV7 All Alc.,2013-11-29,2022-12-31,"253 FOOD AND SPIRIT, LLC",ABBY LANE,board granted permission to provide bottle service,Rear entrance from privateway to first floor for stock; two rooms first floor; three rooms second floor for office space; cellar for stock; CAPACITY BREAKDOWN: RESTAURANT-335 PERSONS(BAR STOOLS 1ST FLR-32 PERSONS TABLES & CHAIRS 1ST FLR -45 PERSONS STANDING 1ST FLR -53 PERSONS BAR STOOLS 2ND FLR 2  ,,2:00 AM,2:30 AM,335.0," 253 Food and Spirit, LLC",COLLEEN HAGERTY,,(781)598-2807,255-257   Tremont ST,Boston,MA,Back_Bay,0.0,0.0
LB-99683,CV7MW0531,Active,CV7 Malt Wine,2013-11-29,2022-12-31,"JNK, INC.",FISH MARKET,,APPROXIMATELY 609 SQUARE FEET OF SPACE.  19 SEATS IN THE DINING ROOM.  7 AT THE SUSHI BAR AND 12 AT THE TABLES.  KITCHEN IN THE BACK OF THE SPACE.,,MIDNIGHT,12:30 AM,19.0," JNK, Inc.", QUI PHU NGUYEN,(617)783-1268,,170-   Brighton AVE,Allston,MA,Allston,755373.000011206,2953840.00001086
LB-98930,CV7AL0049,Active,CV7 All Alc.,2013-11-29,2022-12-31,NANDO 393 HANOVER INC. ,NANDO'S TRATTORIA,,"In one large room on first floor with seating areas and bar (seating capacity of 42), kitchen and restrooms in rear, basement for storage and food preparation.  Total square footage 2,000 SF. There is one entrance and two exits. Closing hour 1:00 AM Friday-Saturday, 12:00 AM Sunday-Thursday. ",,1:00 AM,1:30 AM,43.0," Nando 393 Hanover, Inc.", Palmira Giangregorio Firicano,,(617)437-6316,391-395   Hanover ST,Boston,MA,Downtown_North_End,776987.461951345,2958406.58516711
LB-99142,CV7AL0292,Active,CV7 All Alc.,2013-11-29,2022-12-31,"CAPITAL GRILLE HOLDINGS, INC.",THE CAPITAL GRILLE,,"ON ONE FLOOR WITHIN THE HYNES CONVENTION CENTER WITH ROOMS FOR DINING AND BAR, KITCHEN AND STORAGE.  MAIN ENTRANCE/EXIT LOCATED ON BOYLSTON STREET WITH ADDITIONAL ENTRANCES/EXITS LOCATED ON DALTON STREET AND THROUGH THE HYNES CONVENTION CENTER.  ALSO TO INCLUDE AN OUTDOOR PATIO FOR 32 PATRONS ON PRI",,1:00 AM,1:30 AM,342.0," CAPITAL GRILLE HOLDINGS, INC.", CHRISTOPHER W. SCOTT,,(781)356-8234,900-  Boylston ST,Boston,MA,Back_Bay,768527.134392411,2951949.14733772
LB-99399,CV7AL0597,Active,CV7 All Alc.,2013-11-29,2022-12-31,"CRG WATER, LLC",,,,,Midnight,12:30 AM,186.0," CRG WATER, LLC", KRISTIN CANTY,,,300-  Pier 4 BL,Boston,MA,neighborhood doesn't match,779925.896052025,2953839.44128866
LB-99265,CV7AL0434,Active,CV7 All Alc.,2013-11-29,2022-12-31,"GUIRA & TAMBORA, LLC",GUIRA & TAMBORA,FRIDAY SATURDAY ONLY 11 45 PM CLOSING HOUR ALL PATRONS OUT MIDNIGHT,"One room on the first floor, with a kitchen in the rear. Basement for storage. Three entrances and Five exits.Outdoor seasonal (April -October) patio on private property for 28 patrons.Total square footage of the premises is 2,712 square feet. ",,,11:30 PM,98.0," GUIRA & TAMBORA, LLC", FELIPE DURAN,(857)654-7588,,4014-   Washington ST,Roslindale,MA,Roslindale,758397.344846025,2931595.87432614
LB-98931,CV7AL0050,Active,CV7 All Alc.,2013-11-29,2022-12-31,"ASIAN CUISINE, INC.",TYPHOON-RESTAURANT,PATIO CONDITIONS 1 OPERATING HOURS 11 00 M P 2 ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD ORDERED FROM MENU 3 MUST STAFFED ALL TIMES,IN ONE ROOM ON THE FIRST FLOOR WITH A KITCHEN AND STORAGE ON MEZZANINE LEVEL.  INCLUDES AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER ON PRIVATE PROPERTY FOR 8 PATRONS.,,1:00 AM,1:30 AM,72.0," ASIAN CUISINE, INC.", NHAN H. PHAN - NGUYEN,,6178778969,725-  Boylston ST,Boston,MA,Back_Bay,769656.759760122,2952695.73455361
LB-99335,CV7AL0517,Active,CV7 All Alc.,2013-11-29,2022-12-31,"MAYASOL, INC.",SOL AZTECA,1 Alcohol served with food only 2 on patio 3 10 00 P M closing hour,"Three rooms, kitchen and three stock rooms in basement, and to include an outdoor sidewalk cafe at 912-914a Beacon Street, with a seating capacity of thirty-four (34) .",,1:00 AM,1:30 AM,96.0," MAYASOL, INC.", RIMA OSORNIO,,(617)263-2262,912-914A   Beacon ST,Boston,MA,Fenway_Kenmore,,
LB-102020,RETMW0031,Active,Retail All Alc.,2013-11-29,2022-12-31,"BOSTON BOTTLES, LLC",BOTTLES,,IN ONE ROOM ON THE FIRST FLOOR; STORAGE IN THE REAR.,,11:00 PM,,0.0," BOSTON BOTTLES, LLC", DANIEL O'CONNOR,,2035307265,370-  Commercial ST,Boston,MA,Chinatown_Financial_District,777363.98867169,2958754.77003144
LB-102040,RETMW0067,Active,Retail Malt Wine,2013-11-29,2022-12-31,"TABAR, INC.",BALTIC EUROPEAN DELI,1 SPECIALTY POLISH BEER ONLY,IN ONE ROOM ON THE FIRST FLOOR; STORAGE IN THE BASEMENT.,,8:00 PM,,0.0," TABAR, INC.", DAREK BARCIKOWSKI,,6173503001,632-   Dorchester AVE,South Boston,MA,South_Boston,776038.45820646,2944965.1615386
LB-99337,CV7AL0519,Active,CV7 All Alc.,2013-11-29,2022-12-31,"75 ARLINGTON STREET, INC.",DAVIO'S RESTAURANT,1 NO ALCOHOL SERVICE AFTER 12 30 M RESTAURANT BAR SHALL CEASE ALL OPERATIONS LATER THAN 00 2 FROM INGRESS EGRESS TO PREMISES BE THROUGH ATRIUM OR OTHER INTERIOR PASSAGE 10 ST JAMES STREET THERE DIRECTLY ARLINGTON STUART STREETS 3 LOBBY AREA CONDITIONS USED ONLY FUNCTIONS b WEEKDAYS 6PM c MAY WITHIN LICENSE PARAMETERS DURING WEEKEND BUT,"4 ROOMS, KITCHEN, STORAGE ROOM ON 1ST FLOOR; EXIT/ENTRANCEONTO ARLINGTON STREET, 2 EXITS/ENTRANCES INTO LOBBY OF BUILDING: ENTRANCE/EXIT FOR TAKE OUT DELIVERY AND TO INCLUDE THE ""ENTIRE EAST AND WEST LOBBIES"".",,2:00 AM,2:30 AM,234.0," 75 ARLINGTON STREET, INC.", STEVEN DIFILLIPPO,,6177974810,75-   Arlington ST,Boston,MA,Back_Bay,772303.601498976,2953109.22564217
LB-102018,RETMW0028,Active,Retail Malt Wine,2013-11-29,2022-12-31,JOSE P. FIDALGO AND JORGE P. FIDALGO,F.T. DAVIS SUPERMARKET,       ,Entrance and exit on Dudley Street; in one room on the first floor; basement for stock.,,11:00 PM,,0.0, JOSE P. FIDALGO AND JORGE P. FIDALGO, JORGE  P. FIDALGO,,,438-   Dudley ST,Roxbury,MA,neighborhood doesn't match,771370.999994114,2943440.00000118
LB-98791,CLBAL0019,Active,Clb. All Alc.,2013-11-29,2022-12-31,OLD COLONY YACHT CLUB,,Board granted permission to open on Sundays brunch with service food alcohol beginning 10 00 AM,"In whole of said building except basement.  Capacity breakdown: 1st fl - 134, 2nd fl - 220.",,1:00 AM,1:30 AM,354.0, OLD COLONY YACHT CLUB, JOHNNY H. ENGLISH,,,235-   Victory RD,Dorchester,MA,Dorchester,779420.074625611,2934567.69106491
LB-101876,RETAL0054,Active,Retail All Alc.,2013-11-29,2022-12-31,"FERNANDEZ BROTHERS LIQUORS, INC.",CARIBBEAN LIQUORS,CONDITION NO SALE NIPS OR SINGLES, 500 sq. ft. of retail store space plus basement below. Entrance & exit in front. 1 walk-in cooler on side and 5-door cooler in back. Cash register and counter in front near entrance. Bathroom in basement. Storage in basement. ,,11:00 PM,,0.0," FERNANDEZ BROTHERS LIQUORS, INC.", YGNACIO FERNANDEZ,,,527-531   Dudley ST,Roxbury,MA,neighborhood doesn't match,,
LB-99512,CV7MW0011,Active,CV7 Malt Wine,2013-11-29,2022-12-31,"Food House, Inc.",FRIENDSHIP BBQ ALLSTON,,,,12:00 AM,12:30 AM,68.0, Food House Inc., So Lim Ting,(617)254-8889,,103-  Brighton AVE,Allston,MA,Allston,756038.035499826,2953885.79159491
LB-101864,RETAL0037,Active,Retail All Alc.,2013-11-29,2022-12-31,"JPK LIQUORS, INC.",BUNKER HILL LIQUORS,Board acknowledges granted petition to open 10 00 m on Sundays,In one room on the first floor with rear room and basement for stock.,,11:00 PM,,0.0," JPK LIQUORS, INC.", EILEEN J. KELLY,,(617)242-9567,200-200A   Bunker Hill ST,Charlestown,MA,Charlestown,,
LB-99760,CV7MWL0090,Active,CV7 Malt Wine Liq.,2013-11-29,2022-12-31,"ROCCO'S CUCINA AND BAR, INC.","ROCCO'S CUCINA AND BAR, INC.",1 TO BE OPERATED AS CAFÉ,"ONE DINING ROOM ON FIRST FLOOR WITH KITCHEN, STORAGE ROOM AT THE REAR OF THE PREMISIS, ENTRANCE AT 450 COMMERCIAL STREET.",,1:00 AM,1:30 AM,83.0," ROCCO'S CUCINA AND BAR, INC.", ROCCO ZAGARELLA,,(781)233-0186,450     Commercial ST,Boston,MA,Chinatown_Financial_District,776869.816991225,2959196.78142385
LB-101863,RETAL0034,Active,Retail All Alc.,2013-11-29,2022-12-31,"STONY BROOK WINE & SPIRITS, INC.",,,In one room on the first floor with two rear rooms for stock.,,11:00 PM,,0.0," STONY BROOK WINE & SPIRITS, INC.", CHRISTOS S. STAMATOS,,(617)594-2830,78-80   Boylston ST,Jamaica Plain,MA,Jamaica_Plain,,
LB-101859,RETAL0027,Active,Retail All Alc.,2013-11-29,2022-12-31,"ENA LIQUORS, INC",BROTHERS SUPER LIQUORS,       ,Rear door on Norton Street; in one room on the first floor with rear room and cellar for stock.,,11:00 PM,,0.0," ENA LIQUORS, INC", EDUARDO FERNANDEZ,,,213-  Bowdoin ST,Dorchester,MA,Dorchester,773130.454075754,2936641.32665084
LB-99300,CV7AL0474,Active,CV7 All Alc.,2013-11-29,2022-12-31,"BP EATERY,LLC",Lily's Boston,PATIO OPERATING HOURS 10 00 AM 2,"IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR WITH STORAGE IN REAR, AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM MARCH - NOVEMBER FOR 110 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 10:00 A.M. - 2:00 A.M.  ",,2:00 AM,2:30 AM,159.0," BP EATERY, LLC", MEVZAD DURAKOVIC,,,33-35   BATTERYMARCH ST,Boston,MA,Chinatown_Financial_District,0.0,0.0
LB-99498,CV7ALR0015,Active,CV7 All Alc. Restrict.,2013-11-29,2022-12-31,"SOFI'S RESTAURANT GROUP, LLC","""SOPHIA'S GROTTO""",1 No Bar 2 Alcoholic Beverages to be served only in conjunction with meals 3 Patio Hours Noon Midnight,"In one room on the first floor; kitchen in the rear. In 2 rooms on second floor for prep area & storage, basement for storage and to include an outdoor seasonal patio on Private Property for 54 patrons between the hours of Noon - Midnight.  Capacity breakdown: seating dining - 44, bar standing - 5.",,MIDNIGHT,12:30 AM,49.0," SOFI'S RESTAURANT GROUP, LLC", JOSEPH GARUFI,,6179479407,18-  Corinth ST,Roslindale,MA,Roslindale,756237.588780016,2929681.57269236
LB-101939,RETAL0142,Active,Retail All Alc.,2013-11-29,2022-12-31,"CODMAN SQUARE LIQUORS, LLC",CROWN LIQUORS II,,Rear entrance for stock; One room first floor; Rear room and cellar for stock.,,11:00 PM,,0.0," CODMAN SQUARE LIQOURS, LLC", GEORGE J. STAMATOS,(617)265-7582,,571-  Washington ST,Dorchester,MA,Dorchester,771968.271674663,2931588.18978214
LB-99748,CV7MWL0076,Active,CV7 Malt Wine Liq.,2013-11-29,2022-12-31,"CAFFÉ DELLO SPORT, INC.",CAFFE DELLO SPORT,,"IN ONE ROOM, PREP AREA AND STORAGE ON THE FIRST FLOOR",,1:00 AM,1:30 AM,75.0," CAFFÉ DELLO SPORT, INC.", ANGELO CATTANEO,,(617)962-2541,308     Hanover ST,Boston,MA,Downtown_North_End,776656.600095034,2958109.66513483
LB-99051,CV7AL0187,Active,CV7 All Alc.,2013-11-29,2022-12-31,"CMR PRIME, LLC",OCEAN PRIME,,"IN ONE (1) MAIN ROOM WITH LOBBY, DINING AREA, BAR AND LOUNGE, KITCHEN AND STORAGE, OFFICE, TRASH AND RECEIVING; THREE (3) PRIVATE DINING ROOMS; TWO (2) ENTRANCES AND FIVE (5) TOTAL EXITS INCLUDING TWO (2) TO THE FRONT OF RESTAURANT AND TWO (2) TO THE REAR OF RESTAURANT; THREE TOTAL (3) BATHROOMS;",,2:00 AM,2:30 AM,343.0," CMR PRIME, LLC",Tyler TYLER MANISCALCO,(614)621-3663,,140-  Seaport BLVD,Boston,MA,neighborhood doesn't match,779644.862763234,2953369.36493875
LB-99495,CV7ALR0011,Active,CV7 All Alc. Restrict.,2013-11-29,2022-12-31,"O YA, LLC",O YA,HOURS OPERATION SUNDAY WEDNESDAY 11 00 M P THURSDAY SATURDAY MIDNIGHT,IN ONE ROOM ON THE FIRST FLOOR; ONE ENTRY AREA IN FRONT; KITCHEN AND STORAGE IN THE REAR.,,11:00 PM,11:30 PM,49.0," O YA, LLC", NANCY E. CUSHMAN,,5085203790,9-   East ST,Boston,MA,Chinatown_Financial_District,775929.890910357,2953371.94391443
LB-101857,RETAL0025,Active,Retail All Alc.,2013-11-29,2022-12-31,"BROTHER'S SUPER LIQUORS, INC.",,,In two rooms on first floor; basement for stock.,,11:00 PM,,0.0," BROTHER'S SUPER LIQUORS, INC.", NELSON FERNANDEZ,,6172658840,740-742   Blue Hill AVE,Dorchester,MA,Dorchester,768144.999991104,2934509.99999286
LB-98802,CLBAL0030,Active,Clb. All Alc.,2013-11-29,2022-12-31,"EMERALD SOCIETY OF THE BPD, INC.",,,In one room on the first floor with storage in the basement.,,2:00 AM,2:30 AM,99.0," EMERALD SOCIETY OF THE BPD, INC.", ROBERT J. WELBY,,(617)778-8686,10-  Birch ST,Roslindale,MA,Roslindale,756362.347564131,2929802.37323648
LB-101870,RETAL0045,Active,Retail All Alc.,2013-11-29,2022-12-31,"144 HARVARD STREET LIQUOR, INC.",GIGI'S,       ,In two rooms on the first floor for sales to patrons; four rooms on mezzanine level for stock; basement for stock; with entrance at 144 Harvard Street; and rear and side emergency exits.,,11:00 PM,,0.0," 144 HARVARD STREET LIQUOR, INC.", THERESA BARROS,,(617)288-7139,144     Harvard ST,Dorchester,MA,Dorchester,769592.70152846,2933234.51935168
LB-99014,CV7AL0143,Active,CV7 All Alc.,2013-11-29,2022-12-31,"VINCRU, CORP.",Troquet,,"In one room on the first floor, kitchen and storage in the rear.  Total sq. foot:  5,000.  Number of entrances: 3",,1:00 AM,1:30 AM,160.0," VINCRU, CORP.", CHRISTOPHER DOUGLAS CAMPBELL,(617)695-9463,,107     South ST,Boston,MA,Chinatown_Financial_District,775680.989232472,2953399.2784133
LB-99058,CV7AL0194,Active,CV7 All Alc.,2013-11-29,2022-12-31,"JAMES ASSOCIATES, INC.",THE BROADWAY,,"Two story building: first floor consisting of bar, kitchen, dining room, bathrooms, four egress (8,425 sq/ft); Second Floor; offices (2,091 sq/ft); Basement consisting of restrooms and storage (2,311 sq/ft). Total sq/ft 12,827.",,1:00 AM,1:30 AM,411.0," JAMES ASSOCIATES, INC.", Matthew Virzi,,(617)566-3854,734- E Broadway ,South Boston,MA,South_Boston,781638.250033858,2947725.39370821
LB-99060,CV7AL0196,Active,CV7 All Alc.,2013-11-29,2022-12-31,"WOODS L STREET TAVERN, INC.",WOODS L STREET TAVERN,1 Service alcohol on Sundays 10 00 M with brunch,In one room on first floor with cellar for stock.,,1:00 AM,1:30 AM,71.0," WOODS L STREET TAVERN, INC."," JOHN F. WOODS, JR.",,(617)268-9264,658   E Eighth ST,South Boston,MA,South_Boston,781775.236323804,2946212.87792376
LB-98937,CV7AL0056,Active,CV7 All Alc.,2013-11-29,2022-12-31,"THE NEXT PLACE, LLC",THE GREATEST BAR,BOARD GRANTED PERMISSION TO SERVE BOTTLE SERVICE,"In one room on the first floor; one room & kitchen on the second floor; one third floor; basement for storage, food and prep area.  Capacity breakdown: 1st fl - 150; mezzanine - 40; 2nd fl - 100; 3rd fl - 150.",,2:00 AM,2:30 AM,440.0," THE NEXT PLACE, LLC", WILLIAM FAIRWEATHER,,(617)851-6635,262-266   Friend ST,Boston,MA,neighborhood doesn't match,774688.739197194,2958183.28177491
LB-99233,CV7AL0397,Active,CV7 All Alc.,2013-11-29,2022-12-31,M.Y.N. CORP.,DUBLIN PUB,       ,Rear entrance for stock - two rooms and kitchen first floor cellar for stock.,,1:00 AM,1:30 AM,223.0, M.Y.N. CORP., YASER I. MOHAMMED,,(617)282-2235,7-9   Stoughton ST,Dorchester,MA,Dorchester,0.0,0.0
LB-99021,CV7AL0153,Active,CV7 All Alc.,2013-11-29,2022-12-31,GOPCHANG  BOSTON CORPORATION,GOPCHANG STORY,Capacity breakdown Standing 20 people Seating 66,"In one room on ground floor with dining area and bar, kitchen space and restrooms; storage and office space located in rear.  ",,2:00 AM,2:30 AM,86.0, GOPCHANG BOSTON CORPORATION, JIN CHONG,,,971-973   Commonwealth AV,Boston,MA,Fenway_Kenmore,,
LB-99420,CV7AL0620,Active,CV7 All Alc.,2013-11-27,2022-12-31,"SOMERS BOSTON RESTAURANTS, INC.",HENNESSY'S OF BOSTON,1 st floor 157 during day 320 night 2 nd 262," In one room on first floor, with kitchen and restrooms, one room on the second floor with restrooms, basement for storage, entrance/exits onto Union Street, rear exit onto public alley. Seasonal (April-October) outdoor patio on public property along easterly side of Union Street (+/- 280 square fee",,2:00 AM,2:30 AM,582.0," SOMERS BOSTON RESTAURANTS, INC.", NOELLE SOMERS,,(617)312-4995,25-  Union St,Boston,MA,Chinatown_Financial_District,775968.082891062,2956893.98410453
LB-101932,RETAL0134,Active,Retail All Alc.,2013-11-27,2022-12-31,CASTILLO EGLESTON LIQUORS LLC,,Board acknowledged granted petition to open 10 00 m on Sundays,One room first floor; Rear room and basement for storage  ,,11:00 PM,,0.0," CASTILLO EGLESTON LIQUORS, LLC", CARLOS CASTILLO,,(617)482-3177,3086-   Washington ST,Roxbury,MA,neighborhood doesn't match,764746.894451946,2940189.93203016
LB-99331,CV7AL0511,Active,CV7 All Alc.,2013-11-27,2022-12-31,"MASSACHUSETTS SPORTSERVICE, INC.",Legends,,"(TD BANKNORTH GARDEN); One or more rooms, service and storage areas, and kitchen at west end of level three.",,1:00 AM,1:30 AM,426.0," MASSACHUSETTS SPORTSERVICE, INC.", Charles M. Adams,,(781)545-8474,100     Legends WAY,Boston,MA,neighborhood doesn't match,774480.131741002,2958809.02916749
